indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabel,stublabelnum(double precision),yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Raec,80.0,Under 18 years,3.1,2011-2013,52.0,Uknder 18 years,0.0,5.5,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rcae,25.0,0-4 years,3.1,2012-2014,98.0,Uder 18 years,0.0,5.5,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rtace,61.0,Under 18 years,3.1,2013-2015,11.0,Under 1 8years,0.0,5.7,0.2,*
Health conditions among children under age 18,Current asthma among persons under 18 years,4.0,"Percent of children, crude",1,ace,35.0,10-17 years,3.1,2014-2016,66.0,Under 18 jyears,0.0,5.6,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Raec,3.0,White only,21.1,2015-2017,13.0,Under 18 years,0.0,5.6,0.2,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rcae,3.0,White only,98.1,2016-2018,14.0,Under 18 years,0.0,5.7,0.2,*
Health conditions among children under age 18,Current asthma among persons under 18 years,4.0,"Percent of children, crude",1,Ruace,10.0,0-4 years,3.2,h1997-1999,1.0,Under 18 yrears,0.0,5.6,0.3,...
Health conditions among children under age 18,ADHD among persons under 18 years,4.0,"Percent of children, crude",1,Rae,91.0,Under 18 years,3.2,2000-0202,2.0,nUder 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,84.0,Black or African American only,74.2,2003-200w5,3.0,Under 18 years,0.0,5.3,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,ace,62.0,Under 18 years,3.2,0206-2008,4.0,Under 18 yeasr,0.0,6.0,0.5,*
Health conditions among children under age 18,ADHD among persons under 18 years,4.0,"Percent of children, crude",1,Rjace,46.0,Under 18 years,3.2,20072-009,5.0,Under18 years,0.0,6.6,0.6,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,3.0,"Percent of children, crude",1,aRce,3.0,0-4 years,3.2,2008-2010,30.0,Under18 years,0.0,6.7,0.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,60.0,Black or African American only,28.2,2009-2011,33.0,Under 18 years,0.0,6.6,0.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,3.0,"Percent of children, crude",1,wRace,37.0,0-4 years,3.2,2010-2012,107.0,Under1 8 years,0.0,6.3,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rrace,22.0,0-4 years,3.2,2011-2013,9.0,Under 18 years,0.0,5.9,0.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,103.0,Black or African American only,62.2,2012-2014,10.0,Under 18 years,0.0,5.4,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rcae,70.0,Under 18 years,3.2,2013-2015,82.0,Under 18 yars,0.0,5.5,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rcae,15.0,0-4 years,3.2,2014-2016,91.0,Under 18 years,0.0,6.0,0.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,ace,48.0,Under 18 years,3.2,2015-2017,13.0,Under 18 years,0.0,6.1,0.6,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,ace,3.0,Black or African American only,9.2,2016-2018,14.0,Under 18 yeasr,0.0,6.1,0.6,*
Health conditions among children under age 18,Current asthma among persons under 18 years,4.0,"Percent of children, crude",1,Racne,19.0,10-17 years,3.3,199-1999,1.0,Under 18y ears,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,43.0,American Indian or Alaska Native only,45.3,200-02002,2.0,Undr 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rae,3.0,American Indian or Alaska Native only,3.3,2003-2q005,3.0,Underd 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,ace,3.0,10-17 years,3.3,200-2008,4.0,Unde 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,96.0,American Indian or Alaska Native only,61.3,200-2009,5.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Racfe,73.0,American Indian or Alaska Native only,3.3,2008-2010,96.0,Undert 18 years,0.0,7.3,1.9,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rahce,3.0,Under 18 years,3.3,2009-2011,12.0,Undero 18 years,0.0,9.2,2.1,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rae,8.0,Under 18 years,3.3,2010-2012,64.0,Under 1 years,0.0,7.4,1.7,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,3.0,"Percent of children, crude",1,aRce,57.0,American Indian or Alaska Native only,3.3,2011-2013,9.0,Under 18 yars,0.0,5.2,1.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Raec,79.0,Under 18 years,3.3,2012-2014,10.0,Under 18 ytears,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,98.0,American Indian or Alaska Native only,34.3,2013-2015,108.0,Uder 18 years,0.0,5.9,1.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Roace,20.0,Under 18 years,3.3,2014-2016,12.0,xUnder 18 years,0.0,6.3,1.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,53.0,American Indian or Alaska Native only,7.3,2015-2017,13.0,Unde 18 years,0.0,5.6,1.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,92.0,American Indian or Alaska Native only,46.3,2016-2018,14.0,Under 18w years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Raec,62.0,Under 18 years,3.4,997-1999,1.0,Under 18 yeas,0.0,5.6,0.3,...
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Racde,94.0,10-17 years,3.4,0200-2002,2.0,Undre 18 years,0.0,5.6,0.3,...
Health conditions among children under age 18,Current asthma among persons under 18 years,4.0,"Percent of children, crude",1,Rae,3.0,Under 18 years,3.4,2003-205,3.0,wUnder 18 years,0.0,1.7,0.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,wRace,45.0,Under 18 years,3.4,20p06-2008,4.0,Under 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Race,76.0,Asian only,85.4,2y007-2009,5.0,Undver 18 years,0.0,5.6,0.3,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Rae,103.0,Asian only,3.4,2008-2010,14.0,Under 18 years,0.0,2.5,0.7,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,4.0,"Percent of children, crude",1,Racie,7.0,0-4 years,3.4,2009-2011,7.0,Under 18s years,0.0,2.3,0.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,39.0,Asian only,64.4,2010-2012,32.0,Under 18 years,0.0,2.7,0.5,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,83.0,Asian only,84.4,2011-2013,97.0,Under 18 years,0.0,1.8,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,22.0,Asian only,56.4,2012-2014,98.0,Under 18y ears,0.0,1.8,0.4,*
Health conditions among children under age 18,Serious emotional or behavioral difficulties among persons under 18 years,1.0,"Percent of children, crude",1,Race,64.0,Asian only,46.4,2013-2015,11.0,Under 18y ears,0.0,2.2,0.4,*
