facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63300.0,LITTLE BIFF'S MOTEL,13305 DIXIE HWY,LOUISVILLE,KY,40272,23,1988/06/02 00:00:00,1.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29030.0,LOUISVILLE MANOR MOTEL,4600 DIXIE HWY,LOUISVILLE,KY,40216,23,1988/06/02 00:00:00,2.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29032.0,ECONO LODGE,401 S. 2ND ST,LOUISVILLE,KY,40202,24,1988/06/02 00:00:00,9.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63300.0,BUDGETEL INN,3304 BARDSTOWN RD,LOUISVILLE,KY,40218,27,1988/06/02 00:00:00,4.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29030.0,DAYS INN AIRPORT,2905 FERN VALLEY RD,LOUISVILLE,KY,40213,27,1988/06/02 00:00:00,5.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63300.0,GALT HOUSE,2905 FERN VALLEY RD,LOUISVILLE,KY,40202,24,1988/06/02 00:00:00,6.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29032.0,RESIDENCE INN BY MARRIOTT,120 N HURSTBOURNE PKWY,LOUISVILLE,KY,40222,25,2010/01/11 00:00:00,4.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29032.0,GALT HOUSE EAST,800 PHILLIPS LN,LOUISVILLE,KY,40202,24,1988/06/02 00:00:00,4.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,63300.0,RED ROOF INN #7134,800 PHILLIPS LN,LOUISVILLE,KY,40218,27,1988/06/02 00:00:00,9.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,41062.0,COURTYARD MARRIOTT,9608 BLAIRWOOD ROAD,LOUISVILLE,KY,40222,29,1990/01/22 00:00:00,15.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,29032.0,HAMPTON INN,800 PHILLIPS LN,LOUISVILLE,KY,40209,28,1995/12/21 00:00:00,18.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,56071.0,INTOWN SUITES PRESTON HWY,120 N HURSTBOURNE PKWY,LOUISVILLE,KY,40219,27,2009/03/18 00:00:00,9.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,41062.0,MICROTEL INN,1221 KENTUCKY MILLS LN,LOUISVILLE,KY,40299,22,1996/10/30 00:00:00,6.0
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,59262.0,INTOWN SUITES LOUISVILLE SO.,3304 BARDSTOWN RD,LOUISVILLE,KY,40219,27,2009/03/18 00:00:00,2.0
