UK_CSV0000000000070387__6::0::country,UK_CSV0000000000070387__6::1::quartervalue,UK_CSV0000000000070387__6::2::yearend,UK_CSV0000000000070387__6::3::te_veneers,UK_CSV0000000000070387__6::4::orgcode,UK_CSV0000000000070387__6::5::cl_veneers,UK_CSV0000000000070387__6::6::cl_endodontic,UK_CSV0000000000070387__6::7::num_radiographs
UK_CSV0000000000070387__6 § 0 § 0,UK_CSV0000000000070387__6 § 1 § 0,UK_CSV0000000000070387__6 § 2 § 0,UK_CSV0000000000070387__6 § 3 § 0,UK_CSV0000000000070387__6 § 4 § 0,UK_CSV0000000000070387__6 § 5 § 0,UK_CSV0000000000070387__6 § 6 § 0,UK_CSV0000000000070387__6 § 7 § 0
UK_CSV0000000000070387__6 § 0 § 1,UK_CSV0000000000070387__6 § 1 § 1,UK_CSV0000000000070387__6 § 2 § 1,UK_CSV0000000000070387__6 § 3 § 1,UK_CSV0000000000070387__6 § 4 § 1,UK_CSV0000000000070387__6 § 5 § 1,UK_CSV0000000000070387__6 § 6 § 1,UK_CSV0000000000070387__6 § 7 § 1
UK_CSV0000000000070387__6 § 0 § 2,UK_CSV0000000000070387__6 § 1 § 2,UK_CSV0000000000070387__6 § 2 § 2,UK_CSV0000000000070387__6 § 3 § 2,UK_CSV0000000000070387__6 § 4 § 2,UK_CSV0000000000070387__6 § 5 § 2,UK_CSV0000000000070387__6 § 6 § 2,UK_CSV0000000000070387__6 § 7 § 2
UK_CSV0000000000070387__6 § 0 § 3,UK_CSV0000000000070387__6 § 1 § 3,UK_CSV0000000000070387__6 § 2 § 3,UK_CSV0000000000070387__6 § 3 § 3,UK_CSV0000000000070387__6 § 4 § 3,UK_CSV0000000000070387__6 § 5 § 3,UK_CSV0000000000070387__6 § 6 § 3,UK_CSV0000000000070387__6 § 7 § 3
UK_CSV0000000000070387__6 § 0 § 4,UK_CSV0000000000070387__6 § 1 § 4,UK_CSV0000000000070387__6 § 2 § 4,UK_CSV0000000000070387__6 § 3 § 4,UK_CSV0000000000070387__6 § 4 § 4,UK_CSV0000000000070387__6 § 5 § 4,UK_CSV0000000000070387__6 § 6 § 4,UK_CSV0000000000070387__6 § 7 § 4
UK_CSV0000000000070387__6 § 0 § 5,UK_CSV0000000000070387__6 § 1 § 5,UK_CSV0000000000070387__6 § 2 § 5,UK_CSV0000000000070387__6 § 3 § 5,UK_CSV0000000000070387__6 § 4 § 5,UK_CSV0000000000070387__6 § 5 § 5,UK_CSV0000000000070387__6 § 6 § 5,UK_CSV0000000000070387__6 § 7 § 5
UK_CSV0000000000070387__6 § 0 § 6,UK_CSV0000000000070387__6 § 1 § 6,UK_CSV0000000000070387__6 § 2 § 6,UK_CSV0000000000070387__6 § 3 § 6,UK_CSV0000000000070387__6 § 4 § 6,UK_CSV0000000000070387__6 § 5 § 6,UK_CSV0000000000070387__6 § 6 § 6,UK_CSV0000000000070387__6 § 7 § 6
UK_CSV0000000000070387__6 § 0 § 7,UK_CSV0000000000070387__6 § 1 § 7,UK_CSV0000000000070387__6 § 2 § 7,UK_CSV0000000000070387__6 § 3 § 7,UK_CSV0000000000070387__6 § 4 § 7,UK_CSV0000000000070387__6 § 5 § 7,UK_CSV0000000000070387__6 § 6 § 7,UK_CSV0000000000070387__6 § 7 § 7
UK_CSV0000000000070387__6 § 0 § 8,UK_CSV0000000000070387__6 § 1 § 8,UK_CSV0000000000070387__6 § 2 § 8,UK_CSV0000000000070387__6 § 3 § 8,UK_CSV0000000000070387__6 § 4 § 8,UK_CSV0000000000070387__6 § 5 § 8,UK_CSV0000000000070387__6 § 6 § 8,UK_CSV0000000000070387__6 § 7 § 8
