cell_id,row_number,column_name,old_value,new_value,error_type,fd_rule,violated_dependencies
304.market_class,304,market_class,B,,RANDOM_TYPO,,[]
355.region,355,region,West Midlands,Wesyt Midlands,RANDOM_TYPO,,[]
259.geography,259,geography,Urban,Urbna,RANDOM_TYPO,,[]
18.you_tube_hd_two_fourhr,18,you_tube_hd_two_fourhr,96.56%,96.5q6%,RANDOM_TYPO,,[]
114.you_tube_hd_two_fourhr,114,you_tube_hd_two_fourhr,95.40%,9.40%,RANDOM_TYPO,,[]
493.region,493,region,South East,Suth East,RANDOM_TYPO,,[]
826.region,826,region,South East,South Eoast,RANDOM_TYPO,,[]
618.you_tube_hd_two_fourhr,618,you_tube_hd_two_fourhr,95.11%,9s5.11%,RANDOM_TYPO,,[]
269.technology,269,technology,FTTC,FfTTC,RANDOM_TYPO,,[]
394.technology,394,technology,Cable,Cabel,RANDOM_TYPO,,[]
374.market_class,374,market_class,B,,RANDOM_TYPO,,[]
189.geography,189,geography,Rural,Rurla,RANDOM_TYPO,,[]
415.region,415,region,South East,Sout East,RANDOM_TYPO,,[]
847.market_class,847,market_class,B,dB,RANDOM_TYPO,,[]
289.you_tube_hd_two_fourhr,289,you_tube_hd_two_fourhr,97.37%,97.x37%,RANDOM_TYPO,,[]
143.geography,143,geography,Rural,Rual,RANDOM_TYPO,,[]
250.technology,250,technology,FTTP,FTTnP,RANDOM_TYPO,,[]
741.you_tube_hd_two_fourhr,741,you_tube_hd_two_fourhr,100.00%,00.00%,RANDOM_TYPO,,[]
610.you_tube_hd_two_fourhr,610,you_tube_hd_two_fourhr,95.92%,95.29%,RANDOM_TYPO,,[]
476.geography,476,geography,Urban,Ubran,RANDOM_TYPO,,[]
206.market_class,206,market_class,B,,RANDOM_TYPO,,[]
266.region,266,region,North West,Nortwh West,RANDOM_TYPO,,[]
87.region,87,region,London,Lodon,RANDOM_TYPO,,[]
14.region,14,region,South West,South Wst,RANDOM_TYPO,,[]
31.geography,31,geography,Urban,Uran,RANDOM_TYPO,,[]
823.geography,823,geography,Urban,Uban,RANDOM_TYPO,,[]
597.market_class,597,market_class,B,,RANDOM_TYPO,,[]
775.you_tube_hd_two_fourhr,775,you_tube_hd_two_fourhr,95.39%,5.39%,RANDOM_TYPO,,[]
538.technology,538,technology,FTTC,FTCT,RANDOM_TYPO,,[]
854.region,854,region,South West,Souths West,RANDOM_TYPO,,[]
458.technology,458,technology,FTTC,kFTTC,RANDOM_TYPO,,[]
612.technology,612,technology,Fixed Wireless,Fixed Wirelebss,RANDOM_TYPO,,[]
643.region,643,region,London,Lokndon,RANDOM_TYPO,,[]
651.market_class,651,market_class,A,iA,RANDOM_TYPO,,[]
772.region,772,region,North West,orth West,RANDOM_TYPO,,[]
337.geography,337,geography,Urban,Ubran,RANDOM_TYPO,,[]
292.technology,292,technology,FTTC,FTTdC,RANDOM_TYPO,,[]
782.you_tube_hd_two_fourhr,782,you_tube_hd_two_fourhr,95.52%,95.25%,RANDOM_TYPO,,[]
737.geography,737,geography,Urban,Ubran,RANDOM_TYPO,,[]
343.region,343,region,South East,oSuth East,RANDOM_TYPO,,[]
27.region,27,region,North West,NorthW est,RANDOM_TYPO,,[]
314.you_tube_hd_two_fourhr,314,you_tube_hd_two_fourhr,95.35%,95.3%,RANDOM_TYPO,,[]
57.market_class,57,market_class,B,sB,RANDOM_TYPO,,[]
493.market_class,493,market_class,B,,RANDOM_TYPO,,[]
17.technology,17,technology,FTTP,FTPT,RANDOM_TYPO,,[]
741.geography,741,geography,Urban,Ubran,RANDOM_TYPO,,[]
157.market_class,157,market_class,B,,RANDOM_TYPO,,[]
56.geography,56,geography,Urban,pUrban,RANDOM_TYPO,,[]
803.you_tube_hd_two_fourhr,803,you_tube_hd_two_fourhr,95.54%,9.554%,RANDOM_TYPO,,[]
500.you_tube_hd_two_fourhr,500,you_tube_hd_two_fourhr,95.02%,9502%,RANDOM_TYPO,,[]
356.market_class,356,market_class,B,xB,RANDOM_TYPO,,[]
63.market_class,63,market_class,B,nB,RANDOM_TYPO,,[]
226.market_class,226,market_class,B,***,RANDOM_TYPO,,[]
926.market_class,926,market_class,B,sB,RANDOM_TYPO,,[]
351.geography,351,geography,Rural,Rupral,RANDOM_TYPO,,[]
671.region,671,region,Wales,Wals,RANDOM_TYPO,,[]
101.region,101,region,Northern Ireland,Nrothern Ireland,RANDOM_TYPO,,[]
697.region,697,region,East,aEst,RANDOM_TYPO,,[]
285.region,285,region,Northern Ireland,NorthernI reland,RANDOM_TYPO,,[]
640.market_class,640,market_class,B,,RANDOM_TYPO,,[]
395.you_tube_hd_two_fourhr,395,you_tube_hd_two_fourhr,94.77%,4.77%,RANDOM_TYPO,,[]
882.market_class,882,market_class,B,cB,RANDOM_TYPO,,[]
65.region,65,region,South East,Slouth East,RANDOM_TYPO,,[]
244.region,244,region,South East,South Easkt,RANDOM_TYPO,,[]
602.you_tube_hd_two_fourhr,602,you_tube_hd_two_fourhr,96.15%,69.15%,RANDOM_TYPO,,[]
736.region,736,region,South West,Srouth West,RANDOM_TYPO,,[]
688.market_class,688,market_class,B,,RANDOM_TYPO,,[]
928.you_tube_hd_two_fourhr,928,you_tube_hd_two_fourhr,95.93%,95f.93%,RANDOM_TYPO,,[]
376.region,376,region,Wales,ales,RANDOM_TYPO,,[]
911.region,911,region,South East,Sounth East,RANDOM_TYPO,,[]
975.technology,975,technology,FTTC,TTC,RANDOM_TYPO,,[]
260.geography,260,geography,Urban,Uban,RANDOM_TYPO,,[]
788.you_tube_hd_two_fourhr,788,you_tube_hd_two_fourhr,92.68%,92.a68%,RANDOM_TYPO,,[]
321.market_class,321,market_class,Hull,ull,RANDOM_TYPO,,[]
930.region,930,region,South East,South uEast,RANDOM_TYPO,,[]
19.market_class,19,market_class,B,***,RANDOM_TYPO,,[]
54.geography,54,geography,Urban,rban,RANDOM_TYPO,,[]
562.geography,562,geography,Rural,Rurafl,RANDOM_TYPO,,[]
855.geography,855,geography,Urban,Uryban,RANDOM_TYPO,,[]
637.market_class,637,market_class,B,jB,RANDOM_TYPO,,[]
314.geography,314,geography,Urban,rban,RANDOM_TYPO,,[]
742.technology,742,technology,FTTC,FzTTC,RANDOM_TYPO,,[]
107.market_class,107,market_class,B,rB,RANDOM_TYPO,,[]
859.market_class,859,market_class,B,,RANDOM_TYPO,,[]
817.you_tube_hd_two_fourhr,817,you_tube_hd_two_fourhr,96.24%,96.24r%,RANDOM_TYPO,,[]
126.region,126,region,East,Eat,RANDOM_TYPO,,[]
365.technology,365,technology,FTTC,FTTC***,RANDOM_TYPO,,[]
607.market_class,607,market_class,B,,RANDOM_TYPO,,[]
509.market_class,509,market_class,B,,RANDOM_TYPO,,[]
726.region,726,region,North West,NorthW est,RANDOM_TYPO,,[]
724.region,724,region,East Midlands,Easte Midlands,RANDOM_TYPO,,[]
345.geography,345,geography,Urban,Urbn,RANDOM_TYPO,,[]
776.you_tube_hd_two_fourhr,776,you_tube_hd_two_fourhr,94.36%,9.436%,RANDOM_TYPO,,[]
409.region,409,region,North West,Nortoh West,RANDOM_TYPO,,[]
632.you_tube_hd_two_fourhr,632,you_tube_hd_two_fourhr,95.38%,u95.38%,RANDOM_TYPO,,[]
646.market_class,646,market_class,B,***,RANDOM_TYPO,,[]
232.geography,232,geography,Urban,Urblan,RANDOM_TYPO,,[]
930.you_tube_hd_two_fourhr,930,you_tube_hd_two_fourhr,93.38%,93.38h%,RANDOM_TYPO,,[]
877.geography,877,geography,Urban,Ubran,RANDOM_TYPO,,[]
27.market_class,27,market_class,B,,RANDOM_TYPO,,[]
59.geography,59,geography,Urban,Uirban,RANDOM_TYPO,,[]
695.technology,695,technology,FTTC,FTC,RANDOM_TYPO,,[]
730.you_tube_hd_two_fourhr,730,you_tube_hd_two_fourhr,93.44%,93x.44%,RANDOM_TYPO,,[]
963.technology,963,technology,ADSL2,gADSL2,RANDOM_TYPO,,[]
782.technology,782,technology,FTTC,nFTTC,RANDOM_TYPO,,[]
946.market_class,946,market_class,B,,RANDOM_TYPO,,[]
491.market_class,491,market_class,B,***,RANDOM_TYPO,,[]
913.you_tube_hd_two_fourhr,913,you_tube_hd_two_fourhr,94.12%,9.12%,RANDOM_TYPO,,[]
425.geography,425,geography,Rural,ural,RANDOM_TYPO,,[]
507.geography,507,geography,Urban,Uban,RANDOM_TYPO,,[]
144.market_class,144,market_class,B,,RANDOM_TYPO,,[]
713.market_class,713,market_class,B,,RANDOM_TYPO,,[]
624.geography,624,geography,Rural,ural,RANDOM_TYPO,,[]
168.market_class,168,market_class,B,,RANDOM_TYPO,,[]
60.region,60,region,Yorkshire & Humberside,Yorksvhire & Humberside,RANDOM_TYPO,,[]
154.you_tube_hd_two_fourhr,154,you_tube_hd_two_fourhr,95.24%,9c5.24%,RANDOM_TYPO,,[]
501.you_tube_hd_two_fourhr,501,you_tube_hd_two_fourhr,95.14%,95.1t4%,RANDOM_TYPO,,[]
107.technology,107,technology,FTTP,FTTP***,RANDOM_TYPO,,[]
980.technology,980,technology,FTTC,FTC,RANDOM_TYPO,,[]
824.technology,824,technology,FTTC,FTC,RANDOM_TYPO,,[]
14.technology,14,technology,FTTP,TTP,RANDOM_TYPO,,[]
559.you_tube_hd_two_fourhr,559,you_tube_hd_two_fourhr,95.20%,95b.20%,RANDOM_TYPO,,[]
519.market_class,519,market_class,B,uB,RANDOM_TYPO,,[]
549.region,549,region,South East,South Eats,RANDOM_TYPO,,[]
266.you_tube_hd_two_fourhr,266,you_tube_hd_two_fourhr,90.53%,90.5%,RANDOM_TYPO,,[]
414.technology,414,technology,FTTC,FTnTC,RANDOM_TYPO,,[]
225.you_tube_hd_two_fourhr,225,you_tube_hd_two_fourhr,95.18%,9a5.18%,RANDOM_TYPO,,[]
185.market_class,185,market_class,B,oB,RANDOM_TYPO,,[]
283.market_class,283,market_class,B,,RANDOM_TYPO,,[]
88.region,88,region,West Midlands,eWst Midlands,RANDOM_TYPO,,[]
173.technology,173,technology,Cable,Cbale,RANDOM_TYPO,,[]
691.region,691,region,North West,North bWest,RANDOM_TYPO,,[]
776.market_class,776,market_class,B,***,RANDOM_TYPO,,[]
27.you_tube_hd_two_fourhr,27,you_tube_hd_two_fourhr,95.08%,9.08%,RANDOM_TYPO,,[]
477.you_tube_hd_two_fourhr,477,you_tube_hd_two_fourhr,0.00%,0.d00%,RANDOM_TYPO,,[]
131.you_tube_hd_two_fourhr,131,you_tube_hd_two_fourhr,95.87%,95l.87%,RANDOM_TYPO,,[]
905.geography,905,geography,Rural,Rrual,RANDOM_TYPO,,[]
866.you_tube_hd_two_fourhr,866,you_tube_hd_two_fourhr,96.55%,96.5y5%,RANDOM_TYPO,,[]
302.geography,302,geography,Urban,Urjban,RANDOM_TYPO,,[]
415.geography,415,geography,Urban,Uorban,RANDOM_TYPO,,[]
93.geography,93,geography,Urban,Uriban,RANDOM_TYPO,,[]
596.market_class,596,market_class,B,bB,RANDOM_TYPO,,[]
471.technology,471,technology,Cable,hCable,RANDOM_TYPO,,[]
935.you_tube_hd_two_fourhr,935,you_tube_hd_two_fourhr,80.97%,80.79%,RANDOM_TYPO,,[]
21.you_tube_hd_two_fourhr,21,you_tube_hd_two_fourhr,95.81%,95.8n1%,RANDOM_TYPO,,[]
834.geography,834,geography,Urban,Urbpan,RANDOM_TYPO,,[]
530.market_class,530,market_class,B,rB,RANDOM_TYPO,,[]
6.technology,6,technology,Cable,Cale,RANDOM_TYPO,,[]
256.technology,256,technology,FTTC,FTrTC,RANDOM_TYPO,,[]
216.geography,216,geography,Urban,rban,RANDOM_TYPO,,[]
811.market_class,811,market_class,B,fB,RANDOM_TYPO,,[]
520.geography,520,geography,Urban,Urbn,RANDOM_TYPO,,[]
485.market_class,485,market_class,B,,RANDOM_TYPO,,[]
