facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
620,HOTEL OR MOTELS,53,HOTEL / MOTEL,79657,DRURY INN & SUITES,9501 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2008/01/04 00:00:00,41
377,HOTEL OR MOTELS,91,HOTEL / MOTEL,80752,FAIRFIELD INN & SUITES,100 E JEFFERSON ST,LOUISVILLE,KY,40202,26,2008/04/11 00:00:00,42
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,80755,SPRINGHILL SUITES,132 E JEFFERSON ST,LOUISVILLE,KY,40202,26,2008/04/11 00:00:00,43
667,HOTEL OR MOTELS,91,HOTEL / MOTEL,81041,HOLIDAY INN AIRPORT & FAIR - EXPO CENTER,447 FARMINGTON AVE,LOUISVILLE,KY,40209,23,2008/05/14 00:00:00,44
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,81676,HILTON GARDEN INN,9850 PARK PLAZA,LOUISVILLE,KY,40241,21,2008/07/23 00:00:00,45
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,82632,COLLIER'S MOTEL,4812 BARDSTOWN RD,LOUISVILLE,KY,40291,22,2008/12/11 00:00:00,46
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,83011,CROWNE PLAZA,830 PHILLIPS LN,LOUISVILLE,KY,40209,28,2009/02/01 00:00:00,47
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,83095,EMBASSY SUITES,9940 CORPORATE CAMPUS DR,LOUISVILLE,KY,40223,25,2009/03/09 00:00:00,48
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,83110,COURTYARD BY MARRIOTT,819 PHILLIPS LN,LOUISVILLE,KY,40209,28,2009/03/16 00:00:00,49
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,84275,HOLIDAY INN LOU. AIRPORT SOUTH,6551 PARAMOUNT PARK DR,LOUSIVILLE,KY,40213,27,2009/08/13 00:00:00,50
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,84811,HOTEL LOUISVILLE,120 W BROADWAY,LOUISVILLE,KY,40202,24,2009/11/17 00:00:00,51
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,90652,LEGACY HOTEL AT SBTS,2825 LEXINGTON RD,LOUISVILLE,KY,40280,26,2012/05/16 00:00:00,52
715,HOTEL OR MOTELS,91,HOTEL / MOTEL,91386,WOODSPRING SUITES,10400 BROOKRIDGE VILLAGE BLVD,LOUISVILLE,KY,40291,22,2012/08/17 00:00:00,53
