indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-19years,52.0,"Percent of population, crude",1,Sex and race and Hispanic origin,1.0,4.222,Not Hispanic or Latino: Black or African American only,2011-2014,1.0,2-5 years,0.0,22.7,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,10.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.222,Male,2003-2006,9.0,2-1 9years,0.0,24.2,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19p years,42.0,"Percent of population, crude",1,Sex and race and Hispanic origin,14.0,4.222,2-19 years,1999-2002,10.0,2-5 years,0.0,24.6,2.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,2-19 years,1988-1994,90.0,2-19 years,20.0,12.6,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 yeras,26.0,"Percent of population, crude",1,Sex,5.0,5.1,Male,2011-2014,2.0,2-19 yaers,0.0,17.6,1.1,-
Obesity among children and adolescents aged 2-19 years,-219 years,1.0,"Percent of population, crude",1,Sex,5.0,5.1,Female,2015-2018,3.0,2-19 syears,0.0,17.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 pyears,56.0,"Percent of population, crude",1,Total,5.0,5.1,2-19 years,2003-2006,1.0,2-1 9years,0.0,18.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 ears,85.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Male,2005-2008,3.0,2-19 yars,0.0,19.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-1 years,85.0,"Percent of population, crude",1,Sex,5.0,5.1,2-19 years,2015-2018,6.0,2-5 years,0.0,20.8,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,36.0,"Percent of population, crude",1,Sex,5.0,5.1,2-19 years,2015-2018,7.0,21-9 years,0.0,20.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2-p19 years,83.0,"Percent of population, crude",1,Total,5.0,5.1,2-19 years,2013-2016,8.0,2-19 ybears,0.0,19.4,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,2-19 years,1988-1994,9.0,2-19 years,58.0,21.0,1.1,-
Obesity among children and adolescents aged 2-19 years,2-1 9years,42.0,"Percent of population, crude",1,Race and Hispanic origin,5.0,5.1,2-19 years,2015-2018,9.0,2-5 years,0.0,23.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19years,1.0,"Percent of population, crude",1,Percent of poverty level,57.0,5.2,2-19 years,2015-2018,1.0,2-19 yaers,0.0,10.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19years,65.0,"Percent of population, crude",1,Total,5.0,5.2,2-19 years,2011-2014,2.0,2-9 years,0.0,15.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 yeaars,73.0,"Percent of population, crude",1,Sex,5.0,5.2,2-19 years,2001-2004,3.0,-19 years,0.0,16.7,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,5.0,5.2,2-19 years,2005-2008,4.0,2-19 yjears,0.0,17.4,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19r years,31.0,"Percent of population, crude",1,Sex,5.0,5.2,2-19 years,2015-2018,5.0,2-5 years,0.0,18.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-1 years,21.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.2,Female,2007-2010,3.0,219 years,0.0,18.3,1.3,-
Obesity among children and adolescents aged 2-19 years,-19 years,32.0,"Percent of population, crude",1,Sex and race and Hispanic origin,5.0,5.2,2-19 years,1988-1994,7.0,-19 years,0.0,18.5,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 yeasr,95.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.2,2-19 years,1988-1994,8.0,2-19 eyars,0.0,20.3,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeasr,10.0,"Percent of population, crude",1,Total,5.0,5.2,Not Hispanic or Latino: White only,2013-2016,3.0,2-19 ears,0.0,20.7,1.1,-
Obesity among children and adolescents aged 2-19 years,-219 years,50.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.2,Female,2005-2008,10.0,2-19 yeras,0.0,21.7,1.3,-
Obesity among children and adolescents aged 2-19 years,-219 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,5.0,5.3,2-19 years,1988-1994,94.0,2-19 years,0.0,9.4,1.0,-
Obesity among children and adolescents aged 2-19 years,2-9 years,52.0,"Percent of population, crude",1,Percent of poverty level,63.0,5.3,2-19 years,1999-2002,56.0,2-5 years,0.0,14.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 yemars,72.0,"Percent of population, crude",1,Percent of poverty level,38.0,5.3,2-19 years,2001-2004,25.0,2-19 ayears,0.0,17.8,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,69.0,"Percent of population, crude",1,Total,5.0,5.3,2-19 years,2003-2006,5.0,2-91 years,0.0,17.1,1.5,-
