objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_length(double precision),shape_area(double precision)
43,2008,CT-C1_019-SB,"LIS CB Inner - Housatonic River (mouth), Milford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth between Sniffens Point and Milford Point, US to Route 1 crossing (includes Nells Island area, lower Beaver Brook to saltwater limit, Goose Island, Crimbo Point), Milford/Stratford",0.80513473,Niot Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,160562.942934892,22445868.1449313
44,2008,CT-W1_001-SB,"LIS WB Inner - Bridgeport Harbor, Bridgeport","See Map for Boundaries. Western portion of LIS from SA/SB water quality line at mouth at Pleasure Beach area, US to saltwater limit in Pequonnock River and Lewis Gut (includes Yellow Mill Channel, Johnsons Crk, all SB water of Harbor area), Bridgeport",1.43415755,Not Supporting,Not Supporting,uFlly Supporting,Not Supporting Commercial Harvesting where Authorized,199178.427272333,39982017.9477789
45,2008,CT-W1_018-SB,"LIS WB Inner - Stmaford Harbor (Inner), Stamford","See Map for Boundaries. Western portion of LIS, Inner Estuary, from Cook Road and across to Yacht Club, US to saltwater limit in both the West (Route 137 crossing above I95 crossing) and East (Jefferson Street) Branches of Harbor, Stamford.",0.3180177,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,49916.2431344272,8865824.75693325
46,2008,CT-W1_009,"LIS WB Inner - Grays Creek, Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth on Saugatuck River Estuary, US to saltwater limit at Compo Road, Westport.",0.03610179,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,14199.499641636,1006460.25132272
47,2008,CT-E1_006,"LIS EB Inner - Inner Quiambaug Cove, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Quiambaug Cove from RR crossing, US to Saltwater limit, above Route 1 crossing, adjacent to Cove Road, Stonington.",0.11354344,Not Assessed,Not Assesed,Fully Supporting,Not Supporting Harveting for Direct Consumption,20584.359403294,3165409.62045516
48,2008,CT-E1_010,"LIS EB Inner - Palmer Cove (Inner), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton.",0.11298497,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,17689.4423605944,3149840.36585975
49,2008,uCT-E1_019,"LIS EB Inner - Jordan Cove, Waterford","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Jordan Cove from outlet at Pleasure Beach, US past RR crossing, to Saltwater limit at outlet dam of Jordan Mill Pond, adjacent to Route 156, Waterford.",0.19115355,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,32641.230842191,5329055.27311996
50,2008,CT-E1_023,"LIS EB Inner - Fourmile Rvier (mouth), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Fourmile River from outlet at RR crossing, Western end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, Old Lyme.",0.03099564,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,10331.9964637195,864108.868579571
51,2008,CT-W1_005,"LIS WB Inner - Southport Harbor, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth parallel to Willow Street, US to Harbor Road crossing, Fairfield.",0.07233047,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Dierct Consumption,13931.7434392543,2016457.98698027
52,2008,CT-E1_016-SB,"LIS EB Inner - Thames River (Upper), Norwich","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Thames River from just below outlet of Poquetanuck Cove (near Walden Island), adjacent to Route 12 at Cardinal Lane intersection, US to first dams in Yantic and Shetucket Rivers, Norwich.",1.55517546,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,152946.582019049,43355803.5615809
53,2008,CT-E1_027-SB,"LIS EB Inner - Duck iRiver, Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Duck River from RR crossing near Route 156 crossing, US to saltwater limit at Elm Street, Old Lyme.",0.00656988,Not Aslsessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,7220.30823167854,183157.772196225
54,2008,CT-E1_024-SB,"LIS EB Inner - Connecticut River (mouth), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Connecticut River from outlet at Griswold Point, US to I 95 crossing (Includes North and South Coves, lower Lieutenant River and waters around Great Island upto RR crossings), Old Lyme.",3.28375584,Not Assessed,Not Assessed,Not Supporting,Not Supporting Commercial Harvesting where Authorized,187381.763210123,91545858.8730836
55,2008,CT-C2_019-SB,"LIS CB Shore - New Haven Harbor (West), Milford","See Map for Boundaries. Central portion of LIS from Merwin Point to Oyster River Point area (includes Woodmont Beach, Oyster River outlet), out approximately 1000 ft offshore, Milford.",0.29474798,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,18686.6867463042,8217102.09775337
56,2008,CT-W1_019,"LIS WB Inner - Cos Cob Harbor (upper), Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, from RR crossing, US to saltwater limit at Mianus River Dam, Route 1 crossing (includes I95 bridge crossing), Greenwich.",0.13155771,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,18741.7910472614,3667618.56309681
57,2008,CT-W1_008,"IS WB Inner - Sherwood Millpond, Westport","See Map for Boundaries. Western portion of LIS, Inner Estuary, from mouth at Compo Cove, US to saltwater limit south of RR and I95 (includes Mill Creek, Grove Point, and all of Greens Farm Brook surrounding Sherwood Island State Park), Westport.",0.16784632,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,50701.3364762648,4679287.04699399
58,2008,CT-C1_011,"LIS CB Inner - Farm River, East Haven","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at Route 142 (Short Beach Road), US to saltwater limit above RR crossing and near Route 1, East Haven/Branford.",0.06617114,Not Assessed,Not Assessed,FullySupporting,Not Supporting Harvesting for Direct Consumption,45781.0219088525,1844745.66682275
59,2008,CT-C1_007,"LIS CB Inner - West River, Guilford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth of West River at outlet into Guilford Harbor, US to saltwater limit at Route 1 crossing, Guilford.",0.04725394,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,26350.7315293489,1317364.32839152
60,2008,CT-C1_02-SB,"LIS C Inner - Housatonic River (lower), Milford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from Route 1 crossing, US to Route 15 crossing (includes Peacock, Carting, Long, Popes, and Fowler Islands, and mouth of Pumpkin Ground Brook) Milford/Stratford.",0.74091911,Not Assesed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,85798.6565892212,20655639.3579372
61,2008,CT-E1_029-SB,"LIS EB Inner - Connecticut River (Lower), Essex","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Connecticut River from I95 crossing, US to area just above Brockway Island, Essex.",3.18194797,Not Assessed,Not mAssessed,Not Supporting,Not Supporting Commercial Harvesting where Authorized,247663.829781432,88707618.375856
62,2008,CT-C1_008,"LIS CB Inner - Joshua Cove, Beattie Pond, Guilford","See Map for Boundaries. Central portion of LIS, Inner Estuary, from mouth at outlet into Joshua Cove, US to saltwater limit above Route 146 and RR crossing (includes Beattie Pond), Guilford.",0.1042381,Not Assessed,Not Assssed,Fully Supportnig,Not Supporting Harvesting for Direct Consumption,24560.9029499239,2905991.46438415
63,2008,CT-E2_005,"LIS EB Shore - Mouth Mystic River, Stonington","See Map for Boundaries. Eastern portion of LIS from western most tip of Mason Island along SB/SA water quality boundary to eastern most tip of Mason Island, out approximately 1000 ft offshore.",0.34953842,Not Assessd,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29178.2386357076,9744571.94522925
