objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
111,2020,CT6000-00-5+L4_01,Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe),"Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division lower Lake Zoar and upper Lake Housatonic), segment includes Indian Well State Park Beach, Oxford/Monroe. First major impoundment of Housatonic River.","LKAE, FRESHWATER",346.29,Acres,1508,1100005,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,ot Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,69430.8367147932,15084482.8283525
112,2020,CT6000-88-1-L1_01,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).","LAKE, FRESHWATER",4.02,Acres,310,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Rpecreation,Insufficient Information,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,1855.56413566313,175247.794143589
113,2020,CT6914-06-1-L1_01,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.","LAKE, FRESHWATER",100.3,Acres,1252,1100005,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreatidon,Not Supporting,Fish Consumption,Insufficient Information,Not Clsasified For Drinking Water,Not Evaluated,Yes,19245.3777139289,4369071.70432592
114,2020,CT4704-00-1-L3_01,Babcock Pond (Colchester),"South of Rt 16, southeastern Colchester. Within Babcock Pond Wildlife Management Area.","LAKE, FRESHWATER",122.76,Acrs,88,1080205,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classifie For Drinking Water,Not Evaluated,No,24396.2679771253,5347464.87930803
115,2020,CT4300-00-5+L5a_01,Rainbow Reservoir (Windsor/Bloomwfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,"LAKE, FRESHWATER",214.44,Acres,2354,1080207,49,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,es,60317.9244968307,9341263.77225124
116,2020,CT4020-06-1-L1_01,Rogers Lake (Lyme/Old Lyme),Lyme - Old Lyme border.,"LAKE, FRESHWATER",275.37,Acres,2453,1080205,48,INLAND SURFACE WATERS CLAS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drining Water,Not Evaluated,No,31984.5558284626,11994935.5862266
117,2020,CT4300-05-1-L2_01,Howells Pond (Hartland),"Northwest corner of Hartland, Dish Mill Road.","LAKE, FRESHWATER",14.32,Acres,1297,1080207,48,ILAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Witldlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,oN,3575.16350728842,623913.792405779
118,2020,CT4308-00-1-L2_01,Compensating Res. (L. McDonough) (Barkhamsted/New Hartford),Southeast Barkhamsted - northeast New Hartford.,"LAKE, FRESHWATER",385.75,Acres,1522,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supportign,Recreation,Fully Supporting,Fish Consumption,Not Supporting,Existing or proposed drinking water,Fully Supporting,Yes,52352.7224734222,16803189.2427698
119,2020,CT4500-00-1-L1_01,Shenipsit Lake (Tolland/Ellingto/Vernon),"At meeting point of Ellington, Vernon and Tolland. CT Water Company watershed.","LAKE, FRESHWATER",511.85,Acres,2596,1080205,50,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Insuffkicient Information,Recreation,Insufficient Informtion,Fish Consumption,Insufficient Informaton,Existing or proposed drinking water,Fully Supporting,No,38880.7337830691,22295951.9761804
120,2020,CT4305-00-1-L1_01,West Hill Pond (New Hartford/Barkhamsted),Northwes tcorner of New Hartford.,"LAKE, FRESHWATER",245.54,Acres,3448,1080207,48,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17327.4032895767,10695983.3037961
