reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc,object_id(long)
711997,2020/12/10 05:00:00+00,BORROMEOS,8607 SMYRNA PKWY,40228.0,2020/12/10 05:00:00+00,4,SURVEY,1203
711998,2020/12/10 05:00:00+00,SMYRNA VALERO,6403 E MANSLICK RD,40228.0,2020/12/10 05:00:00+00,4,SURVEY,1204
711999,2020/12/10 05:00:00+00,DOLLAR GENERAL #2353,7701 SMYRNA PKWY,40228.0,2020/12/10 05:00:00+00,4,SURVEY,1205
712014,2020/12/10 05:00:00+00,SUBWAY #43919,7100 RAGGARD RD,40216.0,2020/12/10 05:00:00+00,4,SURVEY,1206
712015,2020/12/10 05:00:00+00,RHYTHM FOOD MART,801 VALLEY COLLEGE DR,40272.0,2020/12/10 05:00:00+00,4,SURVEY,1207
712016,2020/12/10 05:00:00+00,CAPTAIN D'S #3532,10101 DIXIE HWY,40272.0,2020/12/10 05:00:00+00,4,SURVEY,1208
712017,2020/12/10 05:00:00+00,KFC,10103 DIXIE HWY,40272.0,2020/12/10 05:00:00+00,4,SURVEY,1209
712018,2020/12/10 05:00:00+00,HIDEOUT PIZZARIA,5620 BARRET LN,40272.0,2020/12/10 05:00:00+00,3,SURVEY,1210
712019,2020/12/10 05:00:00+00,FRISCH'S BIG BOY #201,7401 DIXIE HWY,40258.0,2020/12/10 05:00:00+00,4,SURVEY,1211
712020,2020/12/10 05:00:00+00,SUBWAY,7001 GLOBAL DR,40258.0,2020/12/10 05:00:00+00,4,SURVEY,1212
712021,2020/12/10 05:00:00+00,QUICK FOOD MART,7031 GLOBAL DR,40258.0,2020/12/10 05:00:00+00,4,SURVEY,1213
712022,2020/12/10 05:00:00+00,MG'S PRIMETIME CAFE,7017 GLOBAL DR,40258.0,2020/12/10 05:00:00+00,4,SURVEY,1214
712027,2020/12/10 05:00:00+00,KROGER L-764,9501 WESTPORT RD,40241.0,2020/12/10 05:00:00+00,4,SURVEY,1215
712028,2020/12/10 05:00:00+00,LA COCINA DE MAMA,2809 N HURSTBOURNE PKWY,40223.0,2020/12/10 05:00:00+00,4,SURVEY,1216
712030,2020/12/10 05:00:00+00,WEI WEI CHINESE EXPRESS,526 S 5TH ST,40202.0,2020/12/10 05:00:00+00,4,SURVEY,1217
712032,2020/12/10 05:00:00+00,MASALA GRILL,528 S 5TH ST,40202.0,2020/12/10 05:00:00+00,5,SURVEY,1218
712033,2020/12/10 05:00:00+00,O&S ASIAN MARKET,1800 BERRY BLVD,40215.0,2020/12/10 05:00:00+00,4,SURVEY,1219
712037,2020/12/10 05:00:00+00,WICKS PIZZA,3348 HIKES LN,40220.0,2020/12/10 05:00:00+00,4,SURVEY,1220
712038,2020/12/10 05:00:00+00,LENNY'S SUB SHOP,3942 TAYLORSVILLE RD,40220.0,2020/12/10 05:00:00+00,2,SURVEY,1221
712039,2020/12/10 05:00:00+00,TACO BELL,3950 TAYLORSVILLE RD,40220.0,2020/12/10 05:00:00+00,3,SURVEY,1222
712040,2020/12/10 05:00:00+00,STARBUCKS #11798,3954 TAYLORSVILLE RD,40220.0,2020/12/10 05:00:00+00,4,SURVEY,1223
712041,2020/12/10 05:00:00+00,O'CHARLEY'S,1901 S HURSTBOURNE PKWY,40220.0,2020/12/10 05:00:00+00,4,SURVEY,1224
712043,2020/12/10 05:00:00+00,SUBWAY,1823 PLANTSIDE DR,40299.0,2020/12/10 05:00:00+00,4,SURVEY,1225
711795,2020/12/09 05:00:00+00,ACTIVE IMAGINATIONS CDC,4210 S CHURCH WAY,40207.0,2020/12/09 05:00:00+00,3,SURVEY,1226
712051,2020/12/10 05:00:00+00,MELTING POT,2045 S HURSTBOURNE PKWY,40220.0,2020/12/10 05:00:00+00,4,SURVEY,1227
712053,2020/12/10 05:00:00+00,PRIMO'S PIZZERIA,2043 S HURSTBOURNE PKWY,40220.0,2020/12/10 05:00:00+00,5,SURVEY,1228
712055,2020/12/10 05:00:00+00,KANSAI JAPANESE STEAKHOUSE,1850 S HURSTBOURNE PKWY,40220.0,2020/12/10 05:00:00+00,4,SURVEY,1229
712056,2020/12/10 05:00:00+00,SHALIMAR RESTAURANT,1850 S HURSTBOURNE PKWY,40220.0,2020/12/10 05:00:00+00,4,SURVEY,1230
711796,2020/12/09 05:00:00+00,KRIBS 2 KIDS ACADEMY,111 FAIRMEADE RD,40207.0,2020/12/09 05:00:00+00,4,SURVEY,1231
