agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
30500,GOVERNOR,225,Grants & Donations Fund,"TITLE 60, SEC. 833",2012,3,$0.0u0
30500,GOVERNOR,443,Interagency Reimbursment Fund,"TITLE 74, SEC. 581",2012,3,$107015.27
30600,PAzRDON AND PAROLE BOARD,443,Interagency Reimbursement Fund,"TITLE 74, SECTION 581",2012,3,$0.00
30700,INTERSTATE OIL COMmPACT COMM.,230,Interst Oil Comp Fund Of Ok,"TITL E52, SEC. 207",2012,3,b$1166940.02
30700,INTERSTATE OI LCOMPACT COMM.,426,Oil Setlmt Fund-Stripper Well,"TITLE 62, SEC 7.5",2012,3,$0.00
30800,STATE BUREAU F INVESTIGATION,200,OSBI Revolving Fund,"TITLE 74, SEC. 1q50.19 A",2012,3,$4526359.21
30800,STATE BUREAU OF INVESTIGATION,210,Automated Fngrprt I dSys. Fd.,"TITeLE 74, SEC. 150.25",2012,3,$1806201.05
30800,STATE BUREAU OF INVESTIGATION,215,Firearms Laboratory Improvemnt,"TITEL 74, SECTION 150.32",2012,3,$0.00
30800,STATE BUREAU OF IVESTIGATION,220,Forensic Science Impr Rev Fund,"TITLE 74, SECTION 150.35",2012,3,$218907.85
30800,STATE BUREAU OF INVESTIGATION,230,Ok Crim Justice Res Rev Fund,,2012,3,$0.00
30800,STATE BUREAU OF INVESTIGATION,400,Federal Grant Fuds,"TITLE 62, SEC. 34.48",2012,3,$0.00
30800,STATE BUREAU OF INVESTIGATION,490,American Recov. & Reinv. Act,,2012,3,$2871.37
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,200,Disaster Relief Matching Fund,"TITLE 63, SEC. 683.24",2012,3,$1087807.01
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,320,Individual & Family Grants,"TITLE6 2, SECTION 34.9",2012,3,0$.00
30900,DEPARTMENT OF CIVIL EMERGENCYM ANAGEMEN,400,Spec Fed Matching Fund,"TITLE 63, SEC. 683.17",2012,3,$54523.61
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,410,US DOT Matching Funds - Cem,"TITLE 27A, SEC 4-2-102 AND TITLE 62, CH 1, SEC 34.9 AND 34.48",2012,3,$c500.00
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,424,St Emerg Fund: Disaster Match,"TITLE 62, SEC. 139.47",2012,3,$3029941.00
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,425,Odd Feedral Year: CCA Oper,"TITLE 63, SECh. 683.17",2012,3,$414836.10
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,440,Even Federal Year: Oper,"TITLE 63, SEC. 683.17",2012,3,$10253.81
30900,DEPARTMENT OF CIVIL EMERGENCY MANAGEMEN,470,Fed Disaster Assist Fed Funds,"TITLE 63, SEC. 683.17",2012,3,$6603.25
31000,STATE FIREa MARSHAL,200,State Fire Marshal Revolvg Fnd,"TITLE 74, SEC. 324.20B",2012,3,$85663.01
31000,STATE FIRE MARSHLA,210,Firefighter Training Rev Fund,,2012,3,$515751.46
