objectid(long),cyclevalue(long),id_three_zero_five_b,namevalue,locationvalue,milessquare(double precision),marineaquaticlife,recreation,fishconsumption,shellfish,shape_area(double precision),shape_length(double precision)
1.0,2008,CT-E1_017,"LIS EB Inner - Alewife Cove, Waterford/New London","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Alewife Cove from outlet at Waterford Beach Park Picnic Area, US to Saltwater limit at Niles Hill Road crossing, Waterford.",0.03711888,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,5757117.02087402,18206.9738212562
3.0,2008,CT-W1_003-SB,"LIS WB Inner - Ash Creek, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",0.31409882,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,5757117.02087402,18206.9738212562
4.0,2008,CT-W1_002-SB,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",0.03711888,Not Supporting,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,5757117.02087402,18206.9738212562
5.0,2008,CT-W1_022-SB,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Alewife Cove from outlet at Waterford Beach Park Picnic Area, US to Saltwater limit at Niles Hill Road crossing, Waterford.",0.03711888,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,1034815.0005188,22885.8049632883
7.0,2008,CT-E1_009,"LIS EB Inner - Beebe Cove (Mystic Harbor), Groton","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Beebe Cove (Mystic Harbor) waters west of two RR crossings along shore, Groton.",0.03275425,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,5757117.02087402,16817.5379882634
8.0,2008,CT-E1_022,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth near South Benson Road, US to saltwater limit at I95, Fairfield/Bridgeport.",0.02935303,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,818315.725280762,16817.5379882634
11.0,2008,CT-E1_026-SB,"LIS EB Inner - Black Hall River (upper), Old Lyme","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Black Hall River from Route 156 crossing, US to saltwater limit at Mile Creek Road crossing, Old Lyme.",0.041089,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,8756572.60620117,17338.9153349127
10.0,2008,CT-E1_026-SB,"LIS CB Inner - Branford River, Branford","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at RR crossing above Route 146 crossing, US to saltwater limit near Route 1, Branford.",0.2720746,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,7585004.57037354,18206.9738212562
11.0,2008,CT-C1_009-SB,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at RR crossing above Route 146 crossing, US to saltwater limit near Route 1, Branford.",0.31409882,Insufficient Information,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,8756572.60620117,18206.9738212562
12.0,2008,CT-C1_018-SB,"LIS EB Inner - Inner Stonongton Harbor, Stonington","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Beebe Cove (Mystic Harbor) waters west of two RR crossings along shore, Groton.",0.2720746,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,7585004.57037354,22885.8049632883
13.0,2008,CT-W1_007,"LIS WB Inner - Ash Creek, Fairfield","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth at Fayerweather Island area, US to saltwater limit at I95 (includes Burr Creek, Cedar Creek, all SB water of Harbor area), Bridgeport.",0.2720746,Not Assessed,Not Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,8756572.60620117,17338.9153349127
5.0,2008,CT-W1_006,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Black Hall River from Route 156 crossing, US to saltwater limit at Mile Creek Road crossing, Old Lyme.",0.03275425,Not Supporting,Not Supporting,Not Supporting,Not Supporting Harvesting for Direct Consumption,5757117.02087402,17338.9153349127
15.0,2008,CT-W1_010-SB,"LIS EB Inner - Inner Stonongton Harbor, Stonington","See Map for Boundaries. Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at RR crossing above Route 146 crossing, US to saltwater limit near Route 1, Branford.",0.03275425,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,1034815.0005188,17338.9153349127
16.0,2008,CT-E1_017,"LIS WB Inner - Fivemile River (mouth), Norwalk","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Beebe Cove (Mystic Harbor) waters west of two RR crossings along shore, Groton.",0.16422125,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,4578225.93515015,17338.9153349127
16.0,2008,CT-C1_009-SB,"LIS WB Inner - Greenwich Harbor, Greenwich","See Map for Boundaries. Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Greenwich Harbor (Round Island to Smith Cove), US to saltwater limit just below I95 (mouth of Horseneck Brook), Greenwich.",0.10355516,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,4578225.93515015,22885.8049632883
