objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_length,shape_area
127.0,2008,CT-E2_008,"LIS EB Shore - Bluff Point, Groton","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary at Bushy Point Beach to Mumford Point, out approximately 1000 ft offshore.",0.23452643,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,15609.5219742024,6538221.73176757
128.0,2008,CT-E2_006,"LIS EB Shore - West Cove (Groton Long Pt), Groton","See Map for Boundaries. Eastern portion of LIS from tip of Groton Long Point to Morgan Point at SB/SA water quality boundary for Mystic River mouth, out approximately 1000 ft offshore.",0.42213698,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29119.2075346326,11768503.7606854
129.0,2008,CT-E2_012,"LIS EB Shore - Outer Jordan Cove, Waterford","See Map for Boundaries. Eastern portion of LIS from Millstone Point to SB/SA water quality boundary at Magonk Point, out approximately 1000 ft offshore. Waters affected by Millstone Power Plant.",0.46490137,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29096.1986270915,12960706.4631773
130.0,2008,CT-E2_015,"LIS EB Shore - Niantic Bay (Black Pt), East Lyme","See Map for Boundaries. Eastern portion of LIS from Point East of Griswald Island, past Black Point to Pond Point in Niantic Bay, out approximately 1000 ft offshore.",0.55429137,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,34211.0484188985,15452756.6046889
131.0,2008,CT-C2_020-SB,"LIS CB Shore - New Haven Harbor (SWest), Milford","See Map for Boundaries. Central portion of LIS from SA/SB water quality line at Pond Point to Merwin Point area (includes Anchor Beach #1, Anchor Beach #2, Morningside), out approximately 1000 ft offshore, Milford.",0.38529821,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,25682.702531667,10741497.6852812
132.0,2008,CT-C2_023,"LIS CB Shore - Walnut Beach, Milford","See Map for Boundaries. Central portion of LIS from SA/SB WQ line at Milford Point to SA/SB WQ line at Silver Sands State Park Beach area (includes Walnut Beach, all SA, Housatonic River mouth to The Gulf), out approximately 1000 ft offshore, Milford.",0.57698582,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,34758.0261511459,16085441.7086971
133.0,2008,CT-W2_022,"LIS WB Shore - Cos Cob Harbor, Greenwich","See Map for Boundaries. Western portion of LIS from Tweed Island to Todd Point (includes Horse Island, Goose Island, Cos Cob Cove) out approximately 1000 ft offshore, Greenwich.",0.70367739,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,51878.610272398,19617399.8734771
134.0,2008,CT-E2_007,"LIS EB Shore - Outer Mumford Cove, Groton","See Map for Boundaries. Eastern portion of LIS from Mumford Point to eastern most tip of Groton Long Point (includes outer Mumford cove and all of Venetian Harbor), out approximately 1000 ft offshore.",0.55479043,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,42387.1175579381,15466669.715972
135.0,2008,CT-C2_014-SB,"LIS CB Shore - Branford Harbor, Branford","See Map for Boundaries. Central portion of LIS from Johnson Point to Clam Island area (includes Branford Point Beach, Lovers Island, Indian Neck Point, Linden Point), out approximately 1000 ft offshore, Branford.",0.64822165,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,39633.5932930351,18071382.6259057
136.0,2008,CT-E2_014,"LIS EB Shore - Niantic Bay (West), East Lyme","See Map for Boundaries. Eastern portion of LIS from Pond Point to Smith Avenue at junction with Route 156, out approximately 1000 ft offshore. Waters affected by Millstone Power Plant.",0.30223274,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,19211.1902304137,8425765.35875651
137.0,2008,CT-E2_019-SB,"LIS EB Shore - CT River Mouth (East), Old Lyme","See Map for Boundaries. Eastern portion of LIS from Griswold Point to SB/SA water quality boundary at Hawks Nest Beach area (Includes White Sands Beach), out approximately 1000 ft offshore. (SB water)",0.42345323,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,25957.4308062695,11805198.7569257
138.0,2008,CT-W3_004,"LIS WB Midshore - Shoal Point, Fairfield","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Shoal Point and outer Black Rock Harbor area), out to 50 ft contour, Fairfield.",4.15466469,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,47630.0906239215,115825404.328531
139.0,2008,CT-W3_005,"LIS WB Midshore - Southport Harbor, Fairfield","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Frost Point to Pine creek Point area), out to 50 ft contour, Fairfield.",5.27489324,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,49068.2849829861,147055583.904747
140.0,2008,CT-W2_020,"LIS WB Shore - Stamford Harbor (West), Greenwich","See Map for Boundaries. Western portion of LIS from Greenwich Point to Peck Point (includes Greenwich Point Beach, western potion of Stamford Harbor) out approximately 1000 ft offshore, Greenwich.",0.54012779,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,41204.5776274016,15057898.790391
141.0,2008,CT-W1_016-SB,"LIS WB Inner - Holly Pond, Stamford","See Map for Boundaries. Western portion of LIS, Inner Estuary, from Holly Pond outlet at Brush Island (flows into Cove Harbor), US to saltwater limit at Route 1 crossing (just DS of I95 crossing), Stamford/Darien.",0.30978004,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Commercial Harvesting where Authorized,24183.8112001606,8636172.14401663
142.0,2008,CT-C3_008,LIS CB Midshore - Branford,"See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Haycock Point to Smith Island), out to 50 ft contour, Branford.",8.37856751,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,74542.1105805723,233581056.629101
143.0,2008,CT-W3_002,"LIS WB Midshore - Bridgeport Hbr, East, Bridgeport","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Inner Bridgeport Harbor, Lewis Gut, Pleasure Beach area), out to 50 ft contour, Bridgeport.",8.08323734,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,64536.0880007159,225347723.977011
144.0,2008,CT-W2_007,"LIS WB Shore - Southport Harbor (West), Fairfield","See Map for Boundaries. Western portion of LIS from Beachside Lane area to inner Southport Harbor outlet area (includes Southport Beach, Sasco Brook outlet) out approximately 1000 ft offshore, Fairfield.",0.18768535,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,13135.9202597682,5232367.32101178
145.0,2008,CT-W2_015,"LIS WB Shore - Fivemile River Estuary, Darien","See Map for Boundaries. Western portion of LIS from Fish Islands to Norton Point (includes Bell Island Beach, Fish Islands, Contentment Island, Butlers Island, Fivemile River mouth, Roton Point) out approximately 1000 ft offshore, Darien.",0.34225016,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,28735.9965860973,9541387.1097162
146.0,2008,CT-W2_002,"LIS WB Shore - Long Beach, Stratford","See Map for Boundaries. Western portion of LIS from SA/SB WQ line at Pleasure Beach to Point No Point area (includes Long Beach (Proper), SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Stratford.",0.45782106,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,28274.5769365464,12763318.7768585
147.0,2008,CT-W2_001,"LIS WB Shore - Lordship, Stratford","See Map for Boundaries. Western portion of LIS from Point No Point area to SA/SB WQ line at Stratford Point (includes Long Beach (Marnick's), SB water is at mouth of Housatonic River) out approximately 1000 ft offshore, Stratford.",0.40890754,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,24865.6685676807,11399688.1549483
