facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,193.0,DIVING POOL,29263.0,JEFFERSONTOWN-PLAINVIEW SWIM,10235 TIMBERWOOD CIR,JEFFERSONTOWN,KY,40223,29,1988/06/06 00:00:00,271.0
695,SWIMMING AREA,191.0,SIWMMING POOL,58634.0,FENWICK PLACE,8601 FENWICK CREEK PLACE,LOUISVILLE,KY,40220,29,1997/09/10 00:00:00,272.0
695,SWIMMING AREA,191.0,SWIMMING POOL,85836.0,SULLIVAN UNIVERSITY,4004 GARDINER POINTE DR,LOUISVILLE,KY,40213,28,2010/04/15 00:00:00,273.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29486.0,WESSEX PLACE,9542 WESSEX PLACE,LOUISVILLE,KY,40222,29,1995/08/04 00:00:00,274.0
695,SWIMMING AREA,249.0,SWIMMING POOL,29264.0,JEFFERSONTOWN-PLAINVIEW SWIM CLUB,10235 TIMBERWOOD CIR,JEFFERSONTOWN,KY,40223,29,1988/06/06 00:00:00,275.0
695,SWIMMING AREA,191.0,SWIMMIG POOL,60018.0,WORTHINGTON GLEN CONDOMINIUMS,10200 WORTHINGTON GLEN DR,LOUISVILLE,KY,40241,21,1998/05/01 00:00:00,276.0
695,SWIMMING AREA,247.0,SPLASH PAD,86298.0,MARSHALL SPRAYGROUND,1310 S BECKLEY STATION RD,LOUISVILLE,KY,40245,25,2010/07/06 00:00:00,277.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29493.0,INVERNESS AT HURSTBOURNE,1200 CLUB HOUSE DRIVE,LOUISVILLE,KY,40222,29,1988/08/02 00:00:00,278.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29265.0,JEFFERSONTOWN-PLAINVIEW SWIM CLUB,10235 TIMBERWOOD CIR,LOUISVILLE,KY,40223,29,1988/06/06 00:00:00,279.0
695,SWIMMING AREA,191.0,SWIMMING POLO,60284.0,THE OAKS AT PARK DUVALLE,3621 CHAUNCEY AVE,LOUISVILLE,KY,40211,24,2016/07/22 00:00:00,280.0
695,SWIMMING AREA,198.0,SPLASH PDA,86575.0,METRO PARKS LONG RUN PARK SPRAYGROUND,1605 FLAT ROCK RD,LOUISVILLE,KY,40245,25,2010/08/16 00:00:00,281.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29494.0,INDIGO AT THE PARK,518 IROQUOIS GARDENS DRIVE,LOUISVILLE,KY,40214,23,1997/05/09 00:00:00,282.0
695,SWIMMING AREA,199.0,WADING POOL,29267.0,JEFFERSONTOWN-PLAINVIEW SWIM CLUB,10235 TIMBERWOOD CIR,JEFFERSONTOWN,KY,40223,29,1988/06/06 00:00:00,283.0
695,SWIMMING AREA,191.0,SWIMMING POOL,60333.0,COOPER CREEK VILLAGE APTS,4807 COOPER VILLAGE TERRACE,LOUISVILLE,KY,40219,27,2007/05/16 00:00:00,284.0
695,SWIMMING AREA,198.0,SPLASH PAD,86652.0,METRO PARKS SHAWNEE PARK,4501 W. BROADWAY,LOUISVILLE,KY,40211,24,2010/08/25 00:00:00,285.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29504.0,JEWISH COMMUNITY CENTER,3600 DUTCHMANS LN,LOUISVILLE,KY,40205,28,1988/06/07 00:00:00,286.0
695,SWIMMING AREA,265.0,SWIMMING POOL,29270.0,CENTRAL HIGH SCHOOL,1130 W. CHESTNUT ST.,LOUISVILLE,KY,40213,24,1988/06/06 00:00:00,287.0
695,SWIMMING AREA,191.0,SWIMMING POOL,60646.0,RIVER FOREST COURTYARD HOMES,6318 RIVER FOREST DR,LOUISVILLE,KY,40258,23,1998/07/14 00:00:00,288.0
695,SWIMMING AREA,286.0,SPLASH PAD,87109.0,METRO PARKS BRESLIN PARK SPRAY POOL,1388 LEXINGTON RD,LOUISVILLE,KY,40206,26,2010/10/27 00:00:00,289.0
695,SWIMMING AREA,214.0,SWIMMING POOL,29521.0,LA FONTENAY APARTMENTS,175 LA FONTENAY DR,LOUISVILLE,KY,40223,25,1988/06/07 00:00:00,290.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29275.0,POPLAR TERRACE APTS,1106 POPLAR LEVEL PLAZA,LOUISVILLE,KY,40217,28,1991/08/27 00:00:00,291.0
