agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
10500,CAPITOL IMPROVEMENT AUTHORITY,477,OCIA 2005D Revenue Fund,"TITLE 62, SECTION 34.48",2012,3,$120576.89
10500,CAPITOL IMPROVEMENT AUTHORITY,478,OCIA 2005D Construction Fund,"TITLE 62, SECTION 34.48",2012,3,$000
10500,CAPITOL IMPROVEMENT AUTHORITY,479,DOT Highways & Bridges Constru,,2012,3,$2522.17
10500,CAPITOL IMPROVEMENT AUTHORITY,480,State Highway Cap Impr Rfnd,"TITLE 73, SECTION 153 AND PROVISIONS OF SENATE",2012,3,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,481,State Hwy Cap Impr Rfnd,"TITLE 73, SECTION 153 AND PROVISIONS OF SENATE",2012,3,$260335.53
10500,CAPITOL IMPROVEMENT AUTHORITY,482,DOT Highways & Bridges Sinkng,,2012,3,$1929439.06
10500,CAPITOL IMPROVEMENT AUTHORITY,483,OCIA Series 2003C Revenue Bond,"TITLE 73, SECTION 302",2012,3,$0.04
10500,CAPITOL IMPROVEMENT AUTHORITY,484,OCIA Series 2003C Const. Bond,"TITLE 73, SECTION 302",2012,3,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,485,OCIASeries 2003D Revenue Bond,"ITLE 62, SECTION 34.48",2012,3,v$0.04
10500,CAPITOL IMPROVEMENT AUTHORITY,486,OCIA Series 2003D Const. Bond,"TITLE 62, SECTION 34.48",2012,3,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,487,OCIA Series 2003E Revenue Bond,"TITLE 62, SECTION 34.48",2012,3,$253619.85
10500,CAPITOL IMPROVEMENT AUTHORITY,488,OCIA Series 2004A Revenue Fund,"TITLE 62, SECTION 34.9",2012,3,$118372.59
10500,CAPITOL IMPROVEMENT AUTHORITY,489,DOT Hiways&Bridges Sink 2010B,,2012,3,$357825.80
10500,CAPITOL IMPROVEMENT AUTHORITY,490,American Recov. & Reinv. Act,,2012,3,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,491,OCIA Series 2000A Revenue Fund,"TITLE 69, SECTION 1511",2012,3,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,492,OCIA Series 2000A Constr Fund,"TITLE 69, SECTION 1511",2012,3,0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,493,OCIA 1998B Road Revenue Fund,"TITLE 69, SEC. 2002",2012,3,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,494,OCIA 1998B Road Constr Fund,"TITLE 69, SEC. 2002",2012,3,$00.0
10500,CAPITOL IMPROVEMENT AUTHORITY,495,Fac. Rev .1995 Construction Fd,"TITLE 73, SEC. 178-182",2012,3,$0.0
10500,CAPITOL IMPROVEMENT AUTHORITY,496,Fac. Rev. Bond Revenue Fund,"TITLE 73, SEC 178-182",2012,3,$0.00
10500,CAPITOL IMPROVEMENT AUTHORITY,497,St Bldg Revenue 1996 Bond Fund,"TITLE 73, SEC. 168.5",2012,3,$000
10500,CAPITOL IMPROVEMENT AUTHORITY,498,OCIA 1998A Prison Constr Fund,"TITLE 73, SEC 177.1",2012,3,$0.00
10500,CAPITOL IMPRVOEMENT AUTHORITY,499,OCIA 1998A Lease Fund,"TITLE 73, SEC. 177.1; HB 1880 SEC.1",2012,3,$0.00
10800,CARL ALBERT STATE COLLEGE,290,Educational & Gen Op Fund,"TITLE 70, SEC. 3901",2012,3,$5015174.17
10800,CARL ALBERT STATE COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$654342.02
10800,CALR ALBERT STATE COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$13789.82
10800,CARL ALBERT STATE COLLEGE,475,Revenue Bond Fund,"TITLE 70, SEC. 4001",2012,3,$1.00
10800,ARL ALBERT STATE COLLEGE,479,Capital Bond Projects,,2012,3,$0.00
10800,CARL ALBERT STATE COLLEGE,490,American Recov. & Reinv. Act,,2012,3,$0.00
11700,COMMEkRCIAL PET BREEDERS BOARD,210,Comm Pet Breeders Enforce Fund,,2012,3,$230021.17
12000,UNIV. OF CENTRAL OKLA.,290,Educ & Gen Operation Fund,"TITLE 70, SEC. 3901",2012,3,$48119119.12
12000,UNIV. OF CENTRAL OKLA.,295,Capital Improvements Rev Fund,"dTITLE 70, SEC. 3901",2012,3,$1759000.88
12000,UNIV. OF CENTRAL OKLA.,340,oBnd Transfer Fund,"TITLE 62, SEC. 7.5",2012,3,$273.00
12000,UNIV. OF CENTRAL KLA.,430,Agency Relationship Fund,"TITLE 62, SEC. 7.5",2012,3,$943405.13
12000,UNIV. OF CENTRAL OKLA.,452,OCIA State Facilities Rev Bond,"TITLE 73, SEC. 301",2012,3,$9481.49
12000,UNIV. OF CENTRAL OKLA.,470,Inst Fund For Cap Imprvmts,"TITLE 70, SEC. 3510 G",2012,3,$1134.73
12000,UNIV. OF CENTRAL OKLA.,475,Revenue Bond Fund,"TITLE 70, SEC. f4004",2012,3,$476557.83
12000,UNIV. OF CENTRAL OKLA.,477,Stadium Rev Bond Fund,"TITLE 70, CH 50, ARTICLE X, SEC. 4002",2012,3,$116094.95
12000,UNIV. OF CENTRAL OKLA.,479,Capital Bond Projects,,2012,3,$0.00
12000,UNIV. OF CENTRAL OKLA.,490,American Recov. & Reiv. Act,,2012,3,$17076.54
12000,UNIV. OF CENTRAL OKLA.,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$2947806.94
12000,UNIV. OF CENTRAL OKLA.,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$15467.18
12500,DEPARTMENT OF MINES,200,Dept. Of Mines Rev Fund,"TITL E45, SEC. 938",2012,3,$4540.57
12500,DEPARTMENT OF MINES,205,Okla Miner Training Instr Rev,"TITLE 45, SEC. 938.1",2012,3,$48061.36
12500,DEPARTMENT OF MINES,400,"Fed Funds, US Dept Of Interior","TITLE 62, SEC. 41.8",2012,3,$29116.3
12500,DEPARTMENT OF MINES,405,Fed Funds-U.S. Deptd. Of Labor,"TITLE 62, SEC. 41.8",2012,3,$0.00
12700,COMMISSION ON CHILDREN AND YOUTH,200,Okla. Comm On Children & Youth,"TITLE 10,h SEC. 601.10",2012,3,$1236301.27
12700,COMMqISSION ON CHILDREN AND YOUTH,205,Positive Youth Dev Rev Fnd,,2012,3,$0.00
13100,DEPARTMENT OF CORRECTIONS,200,Dept Of Corrections Rev Fund,"TITLE 57, SEC. 557",2012,3,$13701455.51
13100,DEPARTMENT OF CORRECTIONS***,205,Inmate & Emp. Welfare and Cant,,2012,3,$3443193.74
13100,DEPARTMENT OF CORRECTIONS,210,Ok Com Sentencing Revolving Fd,"TITLE 57, SEC 557.2",2012,3,$929080.47
13100,DEPARTMENT OF CORRECTIONS,220,Private Prison & Halfway House,,2012,3,$0.00
13100,EDPARTMENT OF CORRECTIONS,280,Dept Of Corr Industries Fund,"TITLE 57, SEC. 541",2012,3,$5862944.08
13100,DEPARTMENT OF CORRECTONS,410,Federal Funds-Title 1,"TITLE 62, SEC. 34.48",2012,3,$385137.22***
13100,DEPARTMENT OF CRORECTIONS,430,Agency Relationship Fund,"TITLE 62, SEC. 34.48",2012,3,$146526.44
13100,DEPARTMENT OF CORRECTIONS,490,ARRA,,2012,3,$53775.74
14000,ST. BD. OF PODIATRIC MED. EXAM.,200,Revolving Fund,"TITLE 62, SEC. 155",2012,3,$54515.74
14500,ST. BD. OF CHIROPRACTIC EXAM.,200,Revolving Fund,"TITLE 62, SEC. 155",2012,3,$1421.76
15000,UNIV.OF SCIENCE & ARTS OF OK,290,Educational &Gen Op Fund,"TITLE 7m0, SEC. 3901",2012,3,2045449.30
15000,UNIV.OF SCIENCE & ARTS OF OK,295,Capitol Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$342466.76
15000,UNIV.OF SCIENCE & ARTS OF OK,296,1998 Bond Construction Fund,"TITLE 70, SEC. 4004",2012,3,$34.59
15000,NIV.OF SCIENCE & ARTS OF OK,340,Bond Tansfer Fund,"TITLE 62, SECTION 7.5",2012,3,$0.00
15000,UNIV.OF SCIENCE & ARTSo OF OK,400,Oil & Gas & Mining Leases,"TITLEf 70, SEC. 4301",2012,3,$234576.84
15000,UNIV.OF SCIENCE & ARTS OF OK,430,AgencyR elationship Fund,"TITLE 62, SEC. 41.8",2012,3,$3217.33
15000,UNIV.OF SCIENCE & ARTS OF OK,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$3022.44
15000,UNIV.OF SCIENCE & ARTS OF OK,460,Donated Funds For Cap Imprvmt,"TITLE 70, SEC. 4306",2012,3,$195.00
15000,UNIV.OF SCIENCE & ARTS OF OK,479,Capital Bond Proejcts,,2012,3,$0.00
15000,UNIV.OF SCIENCE & ARTS OF OK,490,American Recov. & Reinv. Act,,2012,3,$0.00
15000,UNIV.OFSCIENCE & ARTS OF OK,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$949895.03
15000,UNIV.OF SCIENCE & ARTS OF OK,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$418588.90
16000,DEPARTMENT OF COMMERCE,205,Okla. Commerce Rev Fund,"TITLE 74, SEC. 5012",2012,3,$2574856.26
16000,DEPARTMENT OF COMMERCE,206,Native Am Cul & Edu Auth Fund,"TITLE 74, SEC. 1226",2012,3,$915209.15
16000,DEPARMENT OF COMMERCE,210,Energy Conserv Assist Fund,"TITLE 63, SEC. 2901",2012,3,$523.94
16000,DEPARTMENT OF COMMERCE,216,Community Devmt Center Program,"TITLE 74, SEC 5020.1",2012,3,$34012.72
16000,DEPARTMENT OF COMMERCE,225,Rural Economic Action Plan,,2012,3,$1935202.18
16000,DEPARTMENT OF COMMERCE,235,Minoity Bus Dev Program Fund,"TTLE 74, SECTION 5013.1",2012,3,$1.00
16000,DEPARTMENT OF COMMERCE,240,Capital Improve Program Rev Fd,"TITLE 74, SCETION 5013.3",2012,3,$28077.91
16000,DEPARTMENT OF COMMERCE,245,Ok Viticulture Enology Revl Fd,,2012,3,$209399.19
16000,DEPARTMENT OF COMMERCE,250,Oklahoma Main Street Fund,"SB 210, SECTION 36",2012,3,$0.00
16000,DEPARTMENT OFCOMMERCE,280,State Data Center Rev Fund,"TITLE 74, SEC. 5019",2012,3,$0.00
