agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
1000.0,OSU-COLLEGE OF OSTEOPATHIC MED.,479,Capital Bond Projects,,2012,3,$0.00
1000.0,OSU-COLLEGE OF OSTEOPATHIC MED.,490,ARRA,,2012,3,$825298.31
1100.0,OSU MEDICAL AUTHORITY,290,OSU Med. Auth. Disbursing Fund,,2012,3,$6373962.75
1000.0,BD. OF VETERINARY MED. EXAM.,200,Vet Medical Examiners Fund,"TITLE 59, SEC. 698.28",2012,3,$408495.72
1000.0,BD. OF VETERINARY MED. EXAM.,210,Comm Pet Breeders Enforcemt Fd,,2012,3,$869.68
1500.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,200,State Vocational-Tech Fund,"TITLE 70, SEC. 14-105",2012,3,$3504961.03
4900.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,205,Ok Telecom Tech Training Fund,"TITLE 17, SEC 139.109",2012,3,$0.00
2500.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,215,OK Career Tech AG Rev Fund,"TITLE 47, SECTION 1104.7",2012,3,$525.00
1000.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC. 34.64 E",2012,3,$0.00
700.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,430,Agency Relationship Fund-Fed,"TITLE 62, SEC. 34.48, 34.9 AND TITLE 70, SEC. 14-103",2012,3,$243982.43
1200.0,OKLA. CAREER AND TECHNOLOGY EDUCATION,490,American Recov. & Reinv. Act,,2012,3,$174345.11
1000.0,DEPARTMENT OF REHABILITATION SERVICES,205,Sch for Blind/Deaf Rev Fund,"TITLE 68, SEC 2368.3",2012,3,$21661.17
1000.0,DEPARTMENT OF REHABILITATION SERVICES,212,Ok Schl For The Blind Rev Fund,"TITLE 62, SEC. 34.9",2012,3,$79760.41
1200.0,DEPARTMENT OF REHABILITATION SERVICES,213,Ok Scl For The Deaf Rev Fund,"TITLE 62, SEC. 34.9",2012,3,$299857.03
10500.0,DEPARTMENT OF REHABILITATION SERVICES,216,Rehab Services - Donation Fund,"TITLE 62, SEC. 34.9",2012,3,$619900.95
1000.0,DEPARTMENT OF REHABILITATION SERVICES,218,Interpreter Certification Fund,"TITLE 62, SEC. 34.9 & TITLE 56 SEC. 199.2,C",2012,3,$32802.98
1000.0,DEPARTMENT OF REHABILITATION SERVICES,235,Telecom For Hearing Impair Fd,"TITLE 63, SEC. 2418 C",2012,3,$489713.67
1000.0,DEPARTMENT OF REHABILITATION SERVICES,340,Drs Medical & Assistance Fund,"TITLE 62, SECTION 34.9",2012,3,$0.00
1000.0,DEPARTMENT OF REHABILITATION SERVICES,350,Rehab Services Disb Fund,"TITLE 74, SEC. 166.7",2012,3,$0.00
1000.0,DEPARTMENT OF REHABILITATION SERVICES,351,Rehab Services Disbursing Fund,,2012,3,$4543700.65
1000.0,DEPARTMENT OF REHABILITATION SERVICES,352,Rehab Services Disbursing Fund,"TITLE 74, SECTION 166.7",2012,3,$7466744.18
700.0,DEPARTMENT OF REHABILITATION SERVICES,353,Rehab Services Disbursing Fund,"TITLE 74, SECTION 166.7",2012,3,$0.00
1000.0,DEPARTMENT OF REHABILITATION SERVICES,354,Fy 04 Rehab Services Disb Fund,"TITLE 74, SECTION 166.7",2012,3,$970.00
1000.0,DEPARTMENT OF REHABILITATION SERVICES,355,FY05 Rehab Services Disb Fund,"TITLE 74, SECTION 166.7",2012,3,$-66.95
9000.0,DEPARTMENT OF REHABILITATION SERVICES,356,FY06 Rehab Services Disb Fund,,2012,3,$209.84
1600.0,DEPARTMENT OF REHABILITATION SERVICES,357,FY07 Rehab Services Disb Fund,,2012,3,$1144.90
3000.0,DEPARTMENT OF REHABILITATION SERVICES,358,FY08 Rehab Services Disb Fund,,2012,3,$0.00
1000.0,DEPARTMENT OF REHABILITATION SERVICES,380,Education Lottery Fund,TITLE,2012,3,$2171.09
1000.0,DEPARTMENT OF REHABILITATION SERVICES,410,Rehab Services - Federal Fund,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$0.00
1000.0,DEPARTMENT OF REHABILITATION SERVICES,426,Oil Setlmt Fund-Stripper Well,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$0.00
700.0,DEPARTMENT OF REHABILITATION SERVICES,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$0.00
1100.0,DEPARTMENT OF REHABILITATION SERVICES,491,FY11 Surplus Property Fund,,2012,3,$16.97
1000.0,DEPARTMENT OF REHABILITATION SERVICES,492,FY12 Surplus Property Fund,"TITLE 74, SECTION 62.5",2012,3,$9042.47
9200.0,DEPARTMENT OF REHABILITATION SERVICES,496,Surplus Property Fund,,2012,3,$0.00
1000.0,DEPARTMENT OF REHABILITATION SERVICES,497,Surplus Property Fund,,2012,3,$0.00
1000.0,DEPARTMENT OF REHABILITATION SERVICES,499,FY09 Surplus Property Fund,,2012,3,$0.97
10500.0,HEALTH CARE AUTHORITY,200,Ok Health Care Auth Revolving,"TITLE 63, SEC. 5016",2012,3,$23151387.34
700.0,HEALTH CARE AUTHORITY,205,Supp Hospital Offset Pymt Prg,,2012,3,$16795162.32
1500.0,HEALTH CARE AUTHORITY,230,Nursing Fac Quality Of Care Fd,"TITLE 56, SECTION 2002, G",2012,3,$17626.40
1000.0,HEALTH CARE AUTHORITY,240,OHCA Federal Disallowance Fund,"TITLE 63, SECTION 5017",2012,3,$22949778.88
1100.0,HEALTH CARE AUTHORITY,245,Hlth Emp & Economy Imp Act,"TITLE 56, CH 16, SEC 1010.1, H",2012,3,$24909281.86
1000.0,HEALTH CARE AUTHORITY,250,Belle Maxine Hilliard Canc Trt,"TITLE 63, CH 1, ARTICLE 5, SEC 1-559",2012,3,$0.00
1300.0,HEALTH CARE AUTHORITY,255,OHCA Medicaid Program Fund,TITLE 63 SECTION 5020,2012,3,$0.00
4900.0,HEALTH CARE AUTHORITY,260,Income Tax Checkoff Revolv Fnd,"TITLE 68, SECTION 2368.7",2012,3,$0.00
1000.0,HEALTH CARE AUTHORITY,340,CMIA Programs Disbursing Fund,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$23296979.54
1000.0,HEALTH CARE AUTHORITY,490,American Recov. & Reinv. Act,"TITLE 62, SEC. 34.9 & 34.48",2012,3,$6717896.22
1000.0,EMPLOYEES BENEFITS COUNCIL,210,EBC Wellness Program Rev Fnd,"TITLE 74, SECTION 1384",2012,3,$359515.57
4100.0,EMPLOYEES BENEFITS COUNCIL,220,EBC Administration Rev. Fund,"TITLE 74, CH 38A, SEC 1368",2012,3,$2484629.02
1100.0,UNIV. HOSPITALS AUTHORITY,201,University Hosp Auth Disb Fund,"TITLE 63, SEC 3221",2012,3,$3463447.78
9000.0,UNIV. HOSPITALS AUTHORITY,210,Univ Hosp Auth Mktg Revolving,"TITLE 63, SEC. 3221.1",2012,3,$0.00
1000.0,UNIV. HOSPITALS AUTHORITY,215,Donation Fund - Hospital,"TITLE 60, SEC. 385; TITLE 62, SEC. 34.9",2012,3,$2196588.46
1000.0,UNIV. HOSPITALS AUTHORITY,400,Federal Funds,"TITLE 62, CH1, SEC 34.9 & 34.48",2012,3,$6.67
83000.0,DEPARTMENT OF HUMAN SERVICES,200,Grants And Donations,"TITLE 62, SEC. 34.9",2012,3,$1907788.54
10500.0,DEPARTMENT OF HUMAN SERVICES,210,Income Tax Checkoff Revolv Fun,"TITLE 62, SEC. 34.9",2012,3,$23248.00
700.0,DEPARTMENT OF HUMAN SERVICES,215,Quality of Care Development Fu,"TITLE 62, SEC. 34.9",2012,3,$662.50
1100.0,DEPARTMENT OF HUMAN SERVICES,220,Revolving Fund,"TITLE 62, SECTION 34.9",2012,3,$1046858.81
1000.0,DEPARTMENT OF HUMAN SERVICES,225,Child Abuse Multidiscplry Acct,"TITLE 10A, SECTION 1-9-103",2012,3,$303169.00
6500.0,DEPARTMENT OF HUMAN SERVICES,230,Indigent Health Care Rev Fund,"TITLE 56, SEC. 59.1",2012,3,$15407.00
1600.0,DEPARTMENT OF HUMAN SERVICES,245,Adaptive Grant Program - MR,"TITLE 47, SECTION 1104.1",2012,3,$37416.00
1000.0,DEPARTMENT OF HUMAN SERVICES,250,Support Adoption License Plate,"TITLE 47, SECTION 1136, 81.",2012,3,$12325.00
1200.0,DEPARTMENT OF HUMAN SERVICES,255,Southern Ok Res Ctr Pauls Val,"TITLE 62, SECTION 165",2012,3,$447480.04
1300.0,DEPARTMENT OF HUMAN SERVICES,260,OK Silver Haired Legislature,"TITLE 68, SECTION 2368.3A",2012,3,$449.00
1000.0,DEPARTMENT OF HUMAN SERVICES,265,Choose Life Assistance Program,"TITLE 47, SECTION 1104.6",2012,3,$18179.76
83000.0,DEPARTMENT OF HUMAN SERVICEsS,270,Reintegration of Inmates Rev F,,2012,3,$80344.75
700.0,DEPARTMENT OF HUMAN SERVICES,320,Human Services Disbursing Fund,,2012,3,$0.00
700.0,DEPARTMENT OF HUMAN SERVICES,321,Human Services Disbursing Fund,,2012,3,$11358323.78
1000.0,DEPARTMENT OF HUMAN SERVICES,322,Human Services Disbursing Fund,,2012,3,$33854781.59
1000.0,DEPARTMENT OF HUMAN SERVICES,323,Human Services Disbursing Fund,,2012,3,$0.00
1300.0,DEPARTMENT OF HUMAN SERVICES,324,FY14 Human Services Disb Fund,"TITLE 56, SECTION 224",2012,3,$0.00
1000.0,DEPARTMENT OF HUMAN SERVICES,325,Fy 05 Human Svcs Disb Fund,"TITLE 56, SEC 224",2012,3,$0.00
1600.0,DEPARTMENT OF HUMAN SERVICES,326,Fy 06 Human Svcs Disb Fund,"TITLE 56, SEC 224",2012,3,$0.00
1000.0,DEPARTMENT OF HUMAN SERVICES,327,Fy 07 Human Svcs Disb Fund,,2012,3,$0.00
1000.0,DEPARTMENT OF HUMAN SERVICES,328,FY08 Human Svcs Disb Fund,,2012,3,$0.00
1000.0,DEPARTMENT OF HUMAN SERVICES,329,Human Services Disbursing Fund,,2012,3,$0.00
1000.0,DEPARTMENT OF HUMAN SERVICES,340,Human Sev Medical & Assistance,"TITLE 56, SEC. 223",2012,3,$24824785.58
1500.0,DEPARTMENT OF HUMAN SERVICES,370,Juvenile Justice Disb Fund,,2012,3,$0.00
1000.0,DEPARTMENT OF HUMAN SERVICES,371,Juvenile Justice Disburs Fund,,2012,3,$23030.79
