indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,6-11 years,59.0,"Percent of population, crude",1,Sex and race and Hispanic origni,4.0,7.1,Male: Not Hispanic or Latino: Black or African America,2005-0208,5.0,6-11 years,7.2,18.7,2.7,-
Obesity among children and adolescents aged 2-19 years,6-11 yeasr,102.0,"Percent of population, crude",1,Sex and rac and Hispanic origin,4.0,50.1,Male: Not Hispanic or Latino: Black or African America,2007-200,6.0,6-11 years,18.2,23.3,3.3,-
Obesity among children and adolescents aged 2-19 years,6-11 yers,3.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,51.1,Male: Not Hispanic or Latino: Black or African America,2009-2012,7.0,6-11 years,32.2,27.6,3.3,-
Obesity among children and adolescents aged 2-19 years,6-11 yaers,6.0,"Percent of population, crude",1,ex and race and Hispanic origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2011-2014,8.0,6-11 years,33.2,21.2,2.3,-
Obesity among children and adolescents aged 2-19 years,6-11 years***,3.0,"Percent of population, crude",1,Sex and race and Hispani origin,4.0,1.1,Male: Not Hispanic or Latino: Black or African America,2013-2016,9.0,6-11 years,80.2,15.5,1.8,-
Obesity among children and adolescents aged 2-19 years,6-1 1years,3.0,"Percent of population, crude",1,Sex and race and Hispnaic origin,4.0,41.1,Male: Not Hispanic or Latino: Black or African America,2015-2018,10.0,6-11 years,93.2,18.3,2.5,-
Obesity among children and adolescents aged 2-19 years,6-11 yeajrs,3.0,"Percent of population, crude",1,Sex and race and Hispanic roigin,4.0,4.111,Male: Not Hispanic or Latino: White only,1988-1994,65.0,6-11 years,86.2,10.7,2.0,-
Obesity among children and adolescents aged 2-19 years,q6-11 years,3.0,"Percent of population, crude",1,Sex and race and Hispnaic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,1999-2002,89.0,6-11 years,46.2,14.0,1.5,-
Obesity among children and adolescents aged 2-19 years,6-11 ears,99.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,2001-2004,45.0,6-11 years,15.2,16.9,2.3,-
Obesity among children and adolescents aged 2-19 years,-611 years,3.0,"Percent of population, crude",1,Sexb and race and Hispanic origin,4.0,4.111,Male: Not Hispanic or Latino: White only,0203-2006,4.0,6-11 years,77.2,15.5,2.8,-
