indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race adn Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2009-2012,7.0,12-19 ysears,0.3,27.0,2.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,61.0,"Percent of population, crude",1,Sex and race an Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2011-2014,8.0,12-19 years,53.3,22.8,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,44.0,"Percent of population, crude",1,Sex and race and Hzispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2013-2016,9.0,1-219 years,0.3,26.4,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,22.0,"Percent of population, crude",1,Sex an race and Hispanic origin,4.0,4.122,Male: Hispanic or Latino: Mexican: All races,2015-2018,10.0,12-19 yeanrs,0.3,33.3,3.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,63.0,"Percent of population, crude",1,Sex and race and Hisapnic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,1988-1994,79.0,12-19 yeayrs,0.3,8.9,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,42.0,"Percent of population, crude",1,Sex an drace and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,1999-2002,7.0,12-19 years,49.3,12.6,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,41.0,"Percent of population, crude",1,Sex and rac eand Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2001-2004,55.0,12-19 yeaqrs,0.3,14.6,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,23.0,"Percent of population, crude",1,Sex and race and Hispanic orgin,4.0,4.211,Female: Not Hispanic or Latino: White only,2003-2006***,4.0,12-19 years,44.3,14.5,2.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and xHispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2005-2008***,5.0,12-19 yearws,0.3,14.0,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,29.0,"Percent of population, crude",1,Sex anpd race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2007-2010,6.0,12-91 years,0.3,14.6,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,33.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2009-2012,7.0,12-19y ears,0.3,17.8,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,70.0,"Percent of population, crude",1,Sex and race and Hispanicorigin,4.0,4.211,Female: Not Hispanic or Latino: White only,2011-2014,8.0,12-19 years,52.3,20.4,3.5,-
Obesity among children and adolescents aged 2-19 years,12a-19 years,4.0,"Percent of population, crude",1,Sexand race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2013-2016,9.0,12-19years,0.3,18.1,3.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.211,Female: Not Hispanic or Latino: White only,2015-2018,10.0,12-19years,0.3,16.0,2.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,101.0,"Percent of population, crude",1,Sex and race andr Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,1988-1994,89.0,12-19n years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,32.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,1999-2002,46.0,1-219 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12u-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,0201-2004,3.0,12-19 years,85.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,65.0,"Percent of population, crude",1,Sex and race nad Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,203-2006,4.0,12-19 ears,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,20u05-2008,5.0,12-19years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 yers,4.0,"Percent of population, crude",1,Sex anbd race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2007-2010,6.0,12-1p9 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,74.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2009-2012,7.0,1219 years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,26.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2011-2014,8.0,2-19 years,0.3,5.7,1.7,*
Obesity among children and adolescents aged 2-19 years,12-19 years,73.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2013-2016,9.0,12r-19 years,0.3,8.4,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,15.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Female: Not Hispanic or Latino: Asian only,2015-2018,10.0,1219 years,0.3,10.0,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,39.0,"Percent of population, crude",1,Sex and race and Hispanic origin,93.0,4.221,Female: Hispanic or Latino: All races,1988-1994,98.0,12-19 yeatrs,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,5.0,"Percent of population, crude",1,Sex and race and Hispanicc origin,4.0,4.221,Female: Hispanic or Latino: All races,1999-2002,89.0,12-19 kyears,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,18.0,"Percent of population, crude",1,Sex and race and Hispanic origin,104.0,4.221,Female: Hispanic or Latino: All races,2001-2004,74.0,12-19 years,25.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,50.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.221,Female: Hispanic or Latino: All races,003-2006,4.0,12-19 years,2.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,62.0,"Percent of population, crude",1,Sex and race and Hispanic origin,74.0,4.221,Female: Hispanic or Latino: All races,2005-200s8,5.0,12-19z years,0.3,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,64.0,"Percent of population, crude",1,Sex and race and Hispanic origin,93.0,4.221,Female: Hispanic or Latino: All races,007-2010,6.0,2-19 years,0.3,18.7,1.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,100.0,4.221,Female: Hispanic or Latino: All races,2009-2012,7.0,12-19 yers,0.3,20.6,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,60.0,"Percent of population, crude",1,Sex and race and Hispanic origin,100.0,4.221,Female: Hispanic or Latino: All races,2011-2014,8.0,12-19 yeasr,0.3,22.8,2.2,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,28.0,4.221,Female: Hispanic or Latino: All races,2013-2016,9.0,12-z19 years,0.3,25.0,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,69.0,4.221,Female: Hispanic or Latino: All races,2015-2018,10.0,12i-19 years,0.3,25.1,2.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,51.0,"Percent of population, crude",1,Siex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,1988-1994,79.0,12-19 years,95.3,13.4,3.1,*
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispnaic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,1999-2002,79.0,12-19s years,0.3,19.6,1.8,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2v001-2004,3.0,121-9 years,0.3,17.1,1.7,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race atnd Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2003-2060,4.0,12-1v9 years,0.3,19.9,1.4,-
Obesity among children and adolescents aged 2-19 years,12-19 eyars,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2005-2080,5.0,1-219 years,0.3,21.3,2.1,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2007-2010,6.0,12-19 yeas,0.3,18.0,2.4,-
Obesity among children and adolescents aged 2-19 years,12-19 years,61.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2009-2012,7.0,12-19 years,30.3,20.2,2.3,-
Obesity among children and adolescents aged 2-19 years,12-19 years,48.0,"Percent of population, crude",1,Sexx and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2011-2014,8.0,12-19 yeras,0.3,24.2,2.5,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2013-2016,9.0,12-19 yeiars,0.3,26.8,2.9,-
Obesity among children and adolescents aged 2-19 years,12-19 years,54.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.222,Female: Hispanic or Latino: Mexican: All races,2015-2018,10.0,12-19 years,60.3,27.6,4.0,-
Obesity among children and adolescents aged 2-19 years,12-19 years,4.0,"Percent of population, crude",1,Percnt of poverty level,79.0,5.1,Below 100%,1988-1994,101.0,1219 years,0.3,15.8,2.2,-
