objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_area,shape_length
24.0,2008,CT-C2_002,"LIS CB Shore - Westbrook Harbor (West), Westbrook","See Map for Boundaries. Central portion of LIS from Portside Drive near Patchogue River outlet to Fiske Lane (includes Westbrook Town Beach), out approximately 1000 ft offshore, Westbrook.",0.23066178,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,6430481.45751953,14980.2404508867
25.0,2008,CT-C2_003,"LIS CB Shore - Clinton Beach, Clinton","See Map for Boundaries. Central portion of LIS from Kelsey Point to Grove Beach Point area (to Portside Drive, includes Patchogue River outlet), out approximately 1000 ft offshore, Clinton/Westbrook.",0.51580599,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,14379845.9512939,32526.4247364595
27.0,2008,CT-W2_013,"LIS WB Shore - Outer Norwalk Harbor(West), Norwalk","See Map for Boundaries. Western portion of LIS from just west of Hoyt Island to midpoint of outer Norwalk Harbor (includes Hickory Bluff Beach, Hoyt Island, Keyser Point) out approximately 1000 ft offshore, Norwalk.",0.36539041,Not Supporting,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,10186500.1932678,35295.4720116418
28.0,2008,CT-C2_005,"LIS CB Shore - Hammonasset Beach, Madison","See Map for Boundaries. Central portion of LIS from Webster Point to West Rock area (includes Hammonasset State Park Beach), out approximately 1000 ft offshore, Madison.",0.58325977,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16260349.2558594,45849.5071755053
29.0,2008,CT-E3_001,LIS EB Midshore - Stonington,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore (Little Narragansett Bay), out to CT/NY State line.",0.58491497,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,16306493.5961914,20298.633263009
30.0,2008,CT-E2_001,"LIS EB Shore - Wequetequock Cove, Stonington","See Map for Boundaries. Eastern portion of LIS from RR crossing on east side of Wequetequock cove to mouth of Pawcatuck River, out approximately 1000 ft offshore (Little Narragansett Bay).",0.61929586,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,17264977.8419189,59702.8831907662
31.0,2008,CT-W2_010,"LIS WB Shore - Compo Beach, Cedar Point, Westport","See Map for Boundaries. Western portion of LIS from Saugatuck Shores area to Compo Cove (includes Compo Beach, Cedar Point, Saugatuck River outlet, Owenoke) out approximately 1000 ft offshore, Westport.",0.41875298,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,11674163.2915344,25238.8473508255
32.0,2008,CT-W3_006,"LIS WB Midshore - Sherwood Point, Westport","See Map for Boundaries. Western portion of LIS from approximately 1000 ft offshore (Saugatuck River mouth, Compo Cove, Sherwood Island Sate Park area), out to 50 ft contour, Westport.",9.68987591,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,270138236.836212,75378.0956926134
33.0,2008,CT-C3_016,LIS CB Midshore - West Haven,"See Map for Boundaries. Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, West Haven.",6.12085444,Not Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,170639628.623352,58735.5333781605
34.0,2008,CT-E3_010,LIS EB Midshore - Old Saybrook,"See Map for Boundaries. Eastern portion of LIS from approximately 1000 ft offshore Guardhous Point, to SB/SA water quality boundary, Old Saybrook (Mouth of Connecticut River), out to 50 ft contour.",4.40852689,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,122902676.143433,46023.1439721381
