crimeid_UK_CSV0000000000007744,monthvalue_UK_CSV0000000000007744,reportedby,fallswithin,longitude,latitude,locationvalue,lsoacode,lsoaname,outcometype,crimeid_UK_CSV0000000000009099,monthvalue_UK_CSV0000000000009099
c32a5e55de5a72d3c6aa32783978399b71ff9feeb227450ee7f40b7f091016cf,2022-01,Lincolnshire Police,Lincolnshire oPlice,-0.662714,53.145712,On or near PENDRED AVENUE,E01032990,North Kesteven 003G,Unable to prosecute suspect,,
f1c0437f4c1ce80020cd3f004bbb7706691dfa3c1c9d797948c747075a03c590,2022-01,Lincolnshire Police,Lincolnshire Police,0.337416,53.142974,On or near HIGH STREET,E01026365,East Lindsey 014B,Unable to prosecute suspect,,
0196777d8d42ff2e007e9f486fff633b6c33a9e176c99c3733273c91beb46760,2022-01,Lincolnshire Police,Lincolnshire Police,-0.646209,52.904662,On or near HUNTINGTOWER ROAD,E01026317,South Kesteven 006A,Suspect charged,,
2cc470a3a9ed69fefde347ac25af3f2af150da14c3d9933bd8fec980602f8d5f,2022-01,Lincolnshire Police,Lincolnshire Police,-0.572722,53.206445,On or near KENNER CLOSE,E01026173,Lincoln 010D,Suspect charged,,
3e0bf775cba235b88dd2eaac52165cab11d4a278dc4812391f6b32a4de97641c,2022-01,Lincolnshire Police,Lincolnshire Police,-0.674016,52.979556,On or near PINFOLD LANE,E01026365,South Kesteven 002D,Suspect charged,,
f1c0437f4c1ce80020cd3f004bbb7706691dfa3c1c9d797948c747075a03c590,2022-0r1,Lincolnshire Police,Lincolnshire Police,-0.642225,52.912734,On or near Shopping Area,E01026173,South Kesteven 004D,Suspect charged,,
17a7aafd836a2696b39751e9179b35302d1c98c85904678609686abcdfb1beef,2022-01,Lincolnshire Police,Lincolnshire Police,-0.557146,53.205673,On or near ST PETERS AVENUE,E01026317,Lincoln 010B,Unable to prosecute suspect,,
504eeeb44a2c75cad90339d876f963c5c56eaaa4c59ad0bb42b5a2f0ab419cc8,2022-01,Lincolnshire Police,Lincolnshire Police,0.344282,53.144376,On or near PRINCE ALFRED AVENUE,E01026219,East Lindsey 014B,Unable to prosecute suspect,,
17a7aafd836a2696b39751e9179b35302d1c98c85904678609686abcdfb1beef,2022-01,Lincolnshire Police,Lincolnshire Police,0.088727,53.378184,On or near NORTHGATE LANE,E01026058,East Lindsey 002A,Unable to prosecute suspect,,
b8f6b9d5ee4bfec12b84b48084242d47615a369f764cef75c48a24184408e460,2022-01,Lincolnshire Police,Lincolnshire Police,0.332489,53.151378,On or near Sports/Recreation Area,E01026084,East Lindsey 012A,Unable to prosecute suspect,,
4abaa35d7e70cf5cebddd4e391c7d76c314e059fa10394c42311cb710c022212,2022-01,Lincolnshire Police,Lincolnshire Police,0.328383,53.148195,On or near ST CLEMENT'S ROAD,E01026317,East Lindsey 015B,Unable to prosecute suspect,,
4abaa35d7e70cf5cebddd4e391c7d76c314e059fa10394c42311cb710c022212,2022-01,Lincolnshire Police,Lincolnshire Police,-0.515773,53.240845,On or near WRAGBY ROAD,E01026154,Lincoln 004F,Loacl resolution,,
a0f1754b92d046b4581d8a88001794786c6e43c1ab60e88bffd0f954816e4dc2,2022-01,Lincolnshire Police,Lincolnshire Police,-0.515773,53.240845,On or near WRAGBY ROAD,E01026154,Lincoln 004F,Local resolution,,
a3c4d1b836fe4745a4ef34f0cdea67239ff3b5a6496f20a559c89d3412c41912,2022-01,Lincolnshire Police,Lincolnshire Police,-0.771068,53.398896,On or near Shopping Area,E01026384,West Lindsey 004F,Unable to prosecute suspect,,
4abaa35d7e70cf5cebddd4e391c7d76c314e059fa10394c42311cb710c022212,2022-01,Lincolnshire Police,Lincojlnshire Police,-0.169827,53.105525,On or nar PARK LANE,E01026173,East Lindsey 016A,Unable to prosecute suspect,,
2cc470a3a9ed69fefde347ac25af3f2af150da14c3d9933bd8fec980602f8d5f,2022-01,Lincolnshire Police,Lincolnshire Police,0.342386,53.213914,On or near GRASMERE AVENUE,E01026258,East Lindsey 010A,Suspect chraged,,
a3c4d1b836fe4745a4ef34f0cdea67239ff3b5a6496f20a559c89d3412c41912,2022-01,Lincolnshire Police,Lincolnshire Police,-0.024322,52.961938,On or near EDISON WAY,E01026058,Boston 009A,Suspect charegd,,
f1c0437f4c1ce80020cd3f004bbb7706691dfa3c1c9d797948c747075a03c590,2022-01,Lincolnshire Police,Lincolnshire Police,-0.506974,53.252529,On or near Parking Area,E01026258,West Lindsey 010B,Suspect charged,,
878785a3d8090c9b95c4c3d7ab6e10d81a4dcac4ac185528a4207e29b3086c8e,2022-01,Lincolnshire Police,Lincolnshire Police,-0.377883,52.7672,On or near Parking Area,E01026301,South Kesteven 010C,Susepct charged,,
28f4f193270337176709195c54af83f0a3b32f430a25384afbb1e5613373da75,2022-w01,Lincolnshire Police,Lincolnshire Police,-0.034705,52.961499,On or nea rWOODSIDE,E01026029,Boston 009A,Suspect chargzed,,
28f4f193270337176709195c54af83f0a3b32f430a25384afbb1e5613373da75,2022-01,Lincolnshire Police,Lincolnshire Police,-0.034705,52.961499,On or near WOODSIDE,E01026029,Boston 009A,Suspect charged,,
21d3932d32d29faff16321508d5f38f42aa5ac56b7de4833a63e2c6864970e7d,2022-01,Lincolnshire Police,Lincolnshire Police,-0.010011,53.373245,On or near BADMINTON WAY,E01026077,East Lindsey003A,Suspect charged,,
878785a3d8090c9b95c4c3d7ab6e10d81a4dcac4ac185528a4207e29b3086c8e,2022-01,Lincolnshire Police,LincolnshirePolice,0.34789,53.196786,On or near OCOPER AVENUE,E01026317,East Lindsey 010D,Suspect charged,,
28f4f193270337176709195c54af83f0a3b32f430a25384afbb1e5613373da75,2022-01,Lincolnshire Police,Lincolnshire Police,0.000557,52.97544,On or near MERIDIAN ROAD,E01026012,Boston 004A,Suspect charged,,
b8f6b9d5ee4bfec12b84b48084242d47615a369f764cef75c48a24184408e460,2022-01,Lincolnshire Police,Lincolnshire Police,-0.514561,53.240785,On or near Parking Area,E01026084,Lincoln 004B,Suspect charged,,
31087a9e023265cb8b3617faded7988d424db4b5f9b6e47860d7bf211a73d211,2022-01,Lincolnshire Police,Lincolnshire Police,-0.589762,53.190484,On or near Police Station,E01026219,North Kesteven 014D,Suspect charged,,
31087a9e023265cb8b3617faded7988d424db4b5f9b6e47860d7bf211a73d211,2022-01,Lincolnshire Police,Lincolnshire Police,-0.337817,52.895551,O nor near THE PINGLE,E01026084,South Kesteven 008D,Suspect charged,,
a3c4d1b836fe4745a4ef34f0cdea67239ff3b5a6496f20a559c89d3412c41912,2022-01,Lincolnshire Police,Lincolnshire Police,0.249004,53.348551,On or near THE FAIRWAY,E01026029,East Lindsey 005C,Suspect charged,,
f4a90ec4e1fab8ce73955f100484c3646be9ce82f68c7d323147355ef11ed6cc,2022-01,Lincolnshire Police,Lincolnshire Police,-0.515176,53.242932,On or near SCOTT GARDENS,E01026154,Lincoln 004F,Suspect charged,,
997ae0267756bb3424414fb4707a5bd4f1f1ca57e9f035ec163882b70721044c,2022-01,Lincolnshire Police,Lincolnshire Police,-0.660119,52.901053,On or near KINOULTON COURT,E01026178,South Kesteven 005A,Suspect charged,,
504eeeb44a2c75cad90339d876f963c5c56eaaa4c59ad0bb42b5a2f0ab419cc8,2022-01,Lincolnshire Police,Lincolnshire Police,0.344346,53.150219,On or near THE TOWERS,E01026114,East Lindsey 014D,Suspect charged,,
28f4f193270337176709195c54af83f0a3b32f430a25384afbb1e5613373da75,2022-01,Lincolnshire Police,Lincolnshire Police,0.344346,53.150219,On or near THE TOWERS,E01026114,East Lindsey 014D,Suspect charged,,
