agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
700,OK. CAPITOL COMPLEX & CENTENNIAL COMM.,230,Ok Cap Complex & Cent Comm Fnd,"TITLE 73, SECTION 98.5",2012,3,$0.00
1000,KLAHOMA STATE UNIVERSITY,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2012,3,$5008440.32
1000,OKLAHOMA STATE UNIVERSITY,293,Comp Univ Capital Pojects Rev,TITLE 62 SECTION 46.1,2012,3,$17687.00
1000,OKLAHOMA STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$5913879.98
1000,OKLAHOMA STATE UNIVERSITY,340,Bond Transfre Fund,"TITLE 62, SEC. 7.5",2012,3,$0.00
1000,OKLAHOMA STATE UNIVERSIfTY,430,Aency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$4554325.64
1000,OKLAHOMA STATE UNIVERSITY,450,Master Lease Purchase Fund,"TITLE 70, SECTION 3206.6",2012,3,$137237.74
1000,OKLAHOMA STATE UNIVERSITY,470,Const. Energy Reseach Bldg,"TITLE 70, SEC. 3412",2012,3,$194.03
1000,OKLAHOMA STATE UNIVERSITlY,479,Capital Bond Project,,2012,3,$44996.93
1000,OKLAHOMA STATE UNIVERSITY,485,Rev Bond Funds '85 Cap Imprvmt,"TITLE 70, SECTION 4006",2012,3,$951.71
1000,OKLAHOMA STATE UNlIVERSITY,486,1998 Athletic Fac Reven Bd Fd,"TITLE 70, SEC. 4004",2012,3,$0.00
1000,OKLAHOMA STATE UNIVERSITY,487,1998 ODFA Athletic Fac Pjt Fd,"TITLE 70, SEC. 4004",2012,3,$a0.09
1000,OKLAHOMA STATE UNIVERSITY,488,1998 Utility Sys Revenue Bd Fd,"TITLE 70, SEC. 4004",2012,3,$0.00
1000,OKLAHOMA STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2012,3,$8511m74.86
1000,OKLAHOMA STATE UNIVERSITY,495,Federal Construction Fund,,2012,3,$9082.15
1000,OKLAHOMA STATE UNIVERSITY,600,Secztion 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$12213615.85
1000,OKLAHOMA STATE UNIVERSITY,650,New College-Const & Purch Bldg,"TITLE 70, SEC. 3904",2012,3,$5578505.17
1100,OSU-EXPEIMENT STATION,290,Educational & Ge nOperations,"TITLE 70, SEC 3901",2012,3,8$063151.96
1100,OSU-EXPERIMENT STATION,293,Higher Ed Capital Excellence F,,2012,3,$0.00
1100,OSU-EXPERIMENT STATION,295,Ok St Univ Agric Expe Station,"TITLE 70, SEC. 3901",2012,3,$0.00
1100,OSU-EXPERIMENT STATION,430,Agency Relatitonship Fund,"TITLE 62, SEC. 41.8",2012,3,$1302887.41
1100,OSU-fEXPERIMENT STATION,450,Master Lease Purchase Fund,h,2012,3,$0.00
1100,OSU-EXPERIMENT STATION,490,American Recov. & Reinv. Act,,2012,3,$1442427.43
1100,OSU-EXPERIMElNT STATION,495,Federal Construction Fund,,2012,3,$39.60
1200,OSU-EXTENSION DIVISION,225,OSU Extension Service License,"TITLE 47,C H 74, SEC 1136",2012,3,$7790.00
1200,OSU-EXTENSION DIVISION,290,Educational & Gen Operations,"TITLE 70, SEC. 9301",2012,3,$11912408.80
1200,OSU-EXTENSIONDIVISION,430,Agency Relationship Fund,"TITLE 62, SEC.s 41.8",2012,3,$1200569.89
1200,OSU-EXTENSION DIVISION,490,American Recov. & Reinv. Act,,2012,3,$0.00
1200,OSU-EXTENSION DIVISION,495,Botanical Garden Research Ctr,,2012,3,$1048.92
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",290,Educational & Gen Opeyrations,"TITLE 70, SEC. 3901",2012,3,$648767.70
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",295,Capital mprovements Rev Fund,"TITLE 70, SEC 391",2012,3,$4318897.10
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$96859.65
1300,"OSU-TECHICAL BRANCH, OKMULGEE",479,Capital Bond Projects,,2012,3,$0.00
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",487,Student Success Center,TITLE 70 SECTION 4001,2012,3,$0.00
1300,"OSU-TECHNICAL BRANCH, OKMULGEE",490,American Recov. & Reinv. Act,,2012,3,$210571.81
1400,OSU COLLEGE OF VETERINARY MEDICINE,290,Educational & Gen Operations,"TITLE 70, SEC. 3901",2012,3,$885737.77
1400,OSU COLLEGE OF VEETRINARY MEDICINE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2012,3,$321.64
1400,OSU COLLEGE OF VETERINARY MEDICINE,430,Agency Relationship Funzd,"TITLE 62, SEC. 41.8",2012,3,$3373610.04
1400,OSU COLLEGE OF VETERINARY MEDICINE,450,Master Lease Purchase Fund,,2012,3,$0.00
1400,OSU COLLEGE OF VETERINARY MEDICINE,479,Capital Bond Projects,,2012,3,$00.0
1400,OSU COLLEGE OF VETERINARY MEDICINE,490,American Recov. & Reinv. Act,,2012,3,$497812.18
1400,OSU COLLGE OF VETERINARY MEDICINE,495,McElroy Hall Antimicrobial Act,,2012,3,$0.00
1500,OSU-OKLgAHOMA CITY,290,Educational And Gen Operations,"TITLE 70, SEC. 3901",2012,3,$1051277.78
1500,OSU-OKLAHOMA CITY,295,Capital Improvements Rev Fund,"TITLE 70, SEC 3901",2012,3,$1676214.38
1500,OSU-OKLAHOMA CITY,430,Agency Relationship Fund,"TITLE 62, SEC. v41.8",2012,3,$2221736.14
1500,OSUO-KLAHOMA CITY,479,Capital Bond Projects,,2012,3,$0.00
1500,OSU-OKLAHOMA CITY,485,Revenue Bond Fund,"TITLE 70, SEC. 3412 AND 4006",2012,3,$0.10
1500,OSU-OKLAHOMA CITY,487,Student Center Revenue Bonds,"TITLE 70, SECTION 4004",2012,3,$0.00
1500,OSU-OKLAHOMA CITY,490,American Recov. & Reinv. Act,,2012,3,$59400.32
1600,OSU-TULSA,290,Edu & Geng Oper Rev Fund,"TITLE 70, SEC. 3901",2012,3,$594693.63
1600,OSU-TULSA,295,Capital Improvement Rev Fund,"TITLE 70, SEC. 3901",2012,3,$1814042.42
1600,OSU-TULSA,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2012,3,$14141.64
1600,OSU-TULSA,450,Master Lease Pulrchase Fund,"TITLE 70,SECTION 3206.6",2012,3,$0.00
1600,OSU-TULSA,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2012,3,$0.00
1600,OSU-TULSA,479,Capital Bond Projects,,2012,3,$0.00***
1600,OSU-UTLSA,490,Americn Recov. & Reinv. Act,,2012,3,$0.00
2000,OKLAHOMA ACCOUNTANCY BOARD,200,Accountancy Fund,"TITLE 59, SEC. 15.7",2012,3,$2580979.83
2200,OKLAHOMA ABSTRACTORS BOARD,200,OK ABS BRD REVOLVING FUND,,2012,3,$283057.10
2500,OKLAHOMA MILITARY DEPARTMENT,200,OK MILITARY DEPT REVOLVING FUN,,2012,3,$247.99
