cell_id,row_number,column_name,old_value,new_value,error_type,fd_rule,violated_dependencies
1612.lsoacode,1612,lsoacode,E01008700,E1008700,FD_VIOLATION,crimeid -> lsoacode,[e7]
154.lsoacode,154,lsoacode,E01008849,E01008304,FD_VIOLATION,crimeid -> lsoacode,"[e6, e7, e4]"
3104.outcometype,3104,outcometype,Investigation complete; no suspect identified,Investigation cmplete; no suspect identified,RANDOM_TYPO,,[]
3371.lsoaname,3371,lsoaname,Gateshead 011D,Gatesead 011D,FD_VIOLATION,crimeid -> lsoaname,[e6]
6101.lsoaname,6101,lsoaname,Gateshead 023A,Gateshead 23A,FD_VIOLATION,crimeid -> lsoaname,[e5]
6981.fallswithin,6981,fallswithin,Northumbria Police,Northhumbria Police,RANDOM_TYPO,,[]
1338.lsoacode,1338,lsoacode,E01008752,E01080752,FD_VIOLATION,crimeid -> lsoacode,"[e6, e4]"
7265.lsoacode,7265,lsoacode,E01008536,E0100856,FD_VIOLATION,crimeid -> lsoacode,[e7]
1623.lsoacode,1623,lsoacode,E01008335,E01008335***,FD_VIOLATION,crimeid -> lsoacode,[e7]
1232.crimeid,1232,crimeid,96abc6311b675021d87073bbb0b149e61425ff6cf8623529e42263a4951fcad0,62e3b28e44f8b2fbf731d60be8ce2000bd05610e3dc2dfe9bb3bf06c01ae67a9,FD_VIOLATION,crimeid -> longitude,"[e5, e1, e2, e3, e4]"
548.crimeid,548,crimeid,b076604e1f069e2729810105726d2dc02def80295a3b94bbd1048ca70ac39da1,af96898293c4038f37a11e8ab473f6132cc4b02ebc75ced8a3d0d608d1e63153,FD_VIOLATION,crimeid -> longitude,"[e5, e1, e2, e3, e4]"
4221.lsoacode,4221,lsoacode,E01008216,E010v08216,FD_VIOLATION,crimeid -> lsoacode,[e7]
2818.locationvalue,2818,locationvalue,On or near PARK VIEW,On orn ear PARK VIEW,FD_VIOLATION,crimeid -> locationvalue,[e3]
1297.lsoaname,1297,lsoaname,Gateshead 003B,Gateshead 003xB,FD_VIOLATION,crimeid -> lsoaname,"[e5, e6]"
1528.lsoaname,1528,lsoaname,Newcastle upon Tyne 004D,Neewcastle upon Tyne 004D,FD_VIOLATION,crimeid -> lsoaname,"[e5, e6]"
741.lsoacode,741,lsoacode,E01027443,E01008418,FD_VIOLATION,crimeid -> lsoacode,"[e6, e7, e4]"
785.crimeid,785,crimeid,aacfe97d336817c8f8bca3535751ad2812be990af7792cbcf5c0ccf99bdf68ef,19614d14be851360b15fc401b660379c1fc4bc35aa36f0247a89c1a5b0e23645,FD_VIOLATION,crimeid -> longitude,"[e5, e1, e2, e3, e4]"
7047.lsoacode,7047,lsoacode,E01008413,E0100843,FD_VIOLATION,crimeid -> lsoacode,[e7]
5898.lsoacode,5898,lsoacode,E01033075,E1033075,FD_VIOLATION,crimeid -> lsoacode,[e7]
